config,return,max_dd,return_dd,trades,win_rate,tp_rate,sl_rate,avg_winner,avg_loser,avg_bars,longs,shorts,long_wr,short_wr
EMA50 Trend Filter,-2.159318835457876,-561.910172487804,-0.003842818552114294,283,38.515901060070675,36.39575971731448,61.130742049469966,1.8386809985595662,-1.1642272855083369,15.33922261484099,141,142,37.5886524822695,39.436619718309856
ATR Expansion Filter,-7.122994067750893,-184.48805082805384,-0.03860951446871565,150,38.0,34.66666666666667,62.0,1.947577313662879,-1.2702677521132795,17.873333333333335,71,79,38.028169014084504,37.9746835443038
Pure Crosses,-18.925284924342755,-367.70012117347125,-0.0514693464444476,306,37.254901960784316,35.294117647058826,62.091503267973856,1.830018387857,-1.185142610104379,15.950980392156863,152,154,35.526315789473685,38.961038961038966
RSI Filter (20-80),-15.736813137543972,-220.73791922612205,-0.07129184325337105,299,37.45819397993311,35.45150501672241,61.87290969899666,1.82253447486022,-1.175725531133094,16.093645484949832,149,150,36.241610738255034,38.666666666666664
