entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime_type,regime_favorable,price_vs_ema50,price_vs_ema100
2025-01-25 09:45:00,271,292,1.1969,1.2567450000000002,-5.010000000000012,False,SL,0.9498999999999999,5.010000000000014,21,Strong Downtrend,True,-3.772647751979144,-7.643614410870679
2025-01-27 16:45:00,491,498,0.9465,0.8755125,7.489999999999998,True,TP,1.0210475099999998,0.0,7,Strong Downtrend,True,-4.3281176281766545,-10.055201829119827
2025-02-01 03:00:00,916,965,0.9031,0.8353675,7.489999999999997,True,TP,1.0975239684989997,0.0,49,Strong Downtrend,True,-4.675006728999194,-8.719244893138308
2025-02-02 07:30:00,1030,1042,0.6401,0.5920925,7.489999999999997,True,TP,1.1797285137395748,0.0,12,Strong Downtrend,True,-6.839606476740764,-14.494147726328249
2025-02-02 16:00:00,1064,1067,0.594,0.54945,7.489999999999997,True,TP,1.268090179418669,0.0,3,Strong Downtrend,True,-4.939118681047681,-12.338295925654863
2025-02-02 21:45:00,1087,1088,0.5929,0.622545,-5.010000000000006,False,SL,1.2045588614297935,5.010000000000011,1,Strong Downtrend,True,-2.2076346041027994,-8.237934815147794
2025-02-05 04:15:00,1305,1311,0.6581,0.6910050000000001,-5.010000000000011,False,SL,1.1442104624721607,9.76899900000002,6,Strong Downtrend,True,-2.9464865332955346,-5.743326987227972
2025-02-06 08:15:00,1417,1429,0.5089,0.47073250000000005,7.489999999999992,True,TP,1.2299118261113255,3.0106970251000242,12,Strong Downtrend,True,-3.9690996668882326,-10.264985090465949
2025-02-06 21:15:00,1469,1487,0.4439,0.46609500000000004,-5.010000000000005,False,SL,1.1682932436231481,7.869861104142514,18,Strong Downtrend,True,-4.14068152555294,-10.644400442776547
2025-02-12 01:00:00,1964,2003,0.5651,0.5227175000000001,7.489999999999997,True,TP,1.255798407570522,0.9693137008427842,39,Strong Downtrend,True,-3.407399032309687,-5.3545123024008285
2025-02-12 12:30:00,2010,2013,0.5361,0.5629050000000001,-5.010000000000014,False,SL,1.1928829073512386,5.930751084430579,3,Strong Downtrend,True,-2.6547335168482697,-5.307426769124011
2025-02-12 13:30:00,2014,2027,0.504,0.5292,-5.010000000000001,False,SL,1.1331194736929415,10.643620455100608,13,Strong Downtrend,True,-8.13808063827978,-10.62185459791617
2025-02-13 19:30:00,2134,2178,0.4787,0.502635,-5.010000000000008,False,SL,1.0763501880609252,15.120375070300064,44,Strong Downtrend,True,-3.3630243752472464,-6.975141771819768
2025-02-15 14:15:00,2305,2360,0.4357,0.457485,-5.010000000000001,False,SL,1.0224250436390727,19.37284427927804,55,Strong Downtrend,True,-3.663474106300868,-7.593464274201786
2025-02-18 03:45:00,2551,2559,0.3609,0.33383250000000003,7.489999999999991,True,TP,1.0990046794076391,13.333870315795975,8,Strong Downtrend,True,-4.007948921815594,-8.373434186250023
2025-02-18 13:00:00,2588,2598,0.3304,0.30562000000000006,7.4899999999999896,True,TP,1.1813201298952714,6.842577202449091,10,Strong Downtrend,True,-3.5455763627289327,-8.791205805347646
2025-02-18 20:15:00,2617,2620,0.3022,0.31731000000000004,-5.010000000000004,False,SL,1.1221359913875182,11.509764084606397,3,Strong Downtrend,True,-4.1086274264942375,-10.183419339378926
2025-02-22 02:45:00,2931,2956,0.3189,0.33484500000000006,-5.010000000000013,False,SL,1.0659169782190034,15.943124903967623,25,Strong Downtrend,True,-4.5315729525521355,-6.89369928747898
2025-02-25 09:00:00,3244,3255,0.2736,0.28728000000000004,-5.01000000000001,False,SL,1.0125145376102311,20.154374346278864,11,Strong Downtrend,True,-2.4609337889119938,-5.902977246300622
2025-03-07 08:30:00,4202,4205,0.2726,0.28623000000000004,-5.010000000000011,False,SL,0.9617875592759584,24.15464019153031,3,Strong Downtrend,True,-2.785203157271921,-5.630498350767772
2025-03-14 02:00:00,4848,4875,0.2455,0.25777500000000003,-5.010000000000015,False,SL,0.9136020025562327,27.954492717934652,27,Strong Downtrend,True,-3.194971014083254,-5.926232518400689
2025-03-28 12:45:00,6235,6257,0.4983,0.46092750000000005,7.489999999999994,True,TP,0.9820307925476945,22.558284222507954,22,Strong Downtrend,True,-2.7536162382642146,-5.301708569617735
