sl_mult,tp_mult,rr_ratio,trades,net,wr,dd,r_dd,avg_win,avg_loss,pf,sl_count,tp_count
2.5,5.0,2.0,119,-17.667593315721525,33.61344537815126,19.522195131081844,-0.9050003443307687,2.4571722586997335,1.2756752004260667,0.9752779172085972,75,31
1.5,10.0,6.666666666666667,113,-18.77747820186926,20.353982300884958,20.691784116900692,-0.907484733833664,2.4805276667188942,0.70312603100949,0.9015633015736223,89,3
2.0,3.5,1.75,121,-17.141231358343866,37.1900826446281,18.395430082459402,-0.9318200923548152,1.7605835769885503,1.084258770052217,0.9614409686666123,76,40
3.0,5.0,1.6666666666666667,114,-20.7341687494443,37.719298245614034,22.050341248803928,-0.9403105609791403,2.2274312010069193,1.4360310704947543,0.9394000286595933,59,30
3.0,3.0,1.0,115,-20.665675320610532,47.82608695652174,21.86603820383204,-0.9451037781955789,1.4642905654961331,1.4653726758837968,0.9159897504539176,51,49
1.75,8.0,4.571428571428571,113,-14.5028067841227,24.778761061946902,15.29484620359154,-0.94821527402591,2.4824174085929203,0.8351797360811023,0.9791155891045096,84,10
1.5,2.0,1.3333333333333333,128,-12.700088835274304,41.40625,13.31238651841438,-0.9540054157612451,1.2158906485122725,0.8425236650117831,1.0198281986575681,75,52
2.0,2.5,1.25,124,-14.895811896232837,41.935483870967744,15.456995719936465,-0.9636938617392634,1.5222249435110409,1.1085799553780076,0.9917053579141871,72,51
1.0,2.0,2.0,132,-6.86403165613447,32.57575757575758,7.047174821332271,-0.9740118317139779,1.3500253385144583,0.5728517901330159,1.1386181285449006,89,42
1.25,6.0,4.8,119,-19.14902454776024,19.327731092436977,19.610582199051784,-0.9764638475999015,2.5289661253106703,0.6688528653336983,0.9058765620847349,95,16
1.25,7.0,5.6,117,-25.825139447980263,17.94871794871795,25.32314330960272,-1.0198236108464143,2.374504316104696,0.6653718537061022,0.780650423150201,95,11
2.0,4.5,2.25,120,-14.658372162202056,31.666666666666664,14.221529441258282,-1.0307170000771115,2.231750766187188,1.0356641778196618,0.9986113133658473,81,30
2.0,7.0,3.5,113,-21.723462578169833,25.663716814159294,20.99345553395852,-1.0347730769253527,2.436217482192264,0.9498819714931335,0.8854522018306202,83,14
1.75,10.0,5.714285714285714,112,-18.139110825440653,24.107142857142858,17.503565824991547,-1.0363094587013622,2.4018302443312822,0.8270886016895088,0.9224335958043324,84,4
2.5,5.5,2.2,114,-20.063674476613294,31.57894736842105,19.25804794960497,-1.0418332392315417,2.3745559969009418,1.181810444762122,0.9273474663419344,74,25
3.0,4.5,1.5,114,-23.311310762748143,39.473684210526315,22.349808815966774,-1.043020589334727,2.010991156155355,1.4486637689897237,0.9053280681688463,58,32
3.0,4.0,1.3333333333333333,114,-18.988132535497492,41.228070175438596,18.1330601529565,-1.047155437379475,1.9204200285196276,1.4214999357777183,0.9477033973812474,56,38
1.25,8.0,6.4,117,-27.57546485557087,17.94871794871795,25.990410424855547,-1.0609861254518504,2.275162478788514,0.6653718537061022,0.7479904499459339,95,7
1.75,2.0,1.1428571428571428,127,-15.491661797423658,44.881889763779526,14.45608530368305,-1.0716360253821116,1.194105782224652,0.9941595296636316,0.978055584439742,70,56
2.0,8.0,4.0,113,-22.59826931269882,25.663716814159294,21.018850128563702,-1.0751429871032172,2.4025071949451835,0.9498819714931335,0.8732000739785492,83,10
3.0,3.5,1.1666666666666667,114,-20.790191112439636,45.614035087719294,19.103984329625217,-1.0882646653033294,1.6349907728046145,1.4892562845041057,0.9207834795870552,53,44
3.0,5.5,1.8333333333333333,110,-23.23323504346584,35.45454545454545,21.337704972738297,-1.0888347679916528,2.137612636224955,1.323858080226832,0.8869391715395302,58,25
0.75,2.0,2.6666666666666665,136,-7.174137567275572,25.735294117647058,6.543415205662556,-1.0963903927519685,1.4817596270043911,0.4435663654581458,1.1576194654266658,101,35
2.5,3.5,1.4,120,-22.364725475015533,40.833333333333336,20.240621120439517,-1.1049426468652703,1.7505464815352354,1.3287753433168072,0.9092008172624113,68,44
0.75,10.0,13.333333333333334,125,-21.174926265704542,9.6,19.134364631369834,-1.1066438146051272,3.3174157978414858,0.4230297704782619,0.8327828623865426,113,3
2.5,4.0,1.6,120,-19.934823071185335,36.666666666666664,17.926706253000564,-1.1120181694196418,2.0746980105619715,1.2737832803102795,0.9429712040109852,72,38
2.0,10.0,5.0,112,-25.83621800693622,25.0,23.210018202335128,-1.1131494073682748,2.321944207491185,0.9405248772987738,0.8229249658126727,83,4
1.5,3.0,2.0,122,-13.683712281819778,32.78688524590164,12.245639040374181,-1.1174355406609842,1.6376286994183578,0.8002088782550872,0.9982934327733154,82,38
1.25,10.0,8.0,116,-28.92624477316165,17.24137931034483,25.864150374468693,-1.1183914551361271,2.277776967529536,0.6602546928185618,0.7187179029497983,95,3
2.5,4.5,1.8,120,-22.650541644312185,35.0,20.251763948556633,-1.1184478399930449,2.203056297241558,1.2915207214474498,0.9184994583753855,74,33
2.5,3.0,1.2,120,-21.661628397891405,43.333333333333336,19.263179024222083,-1.1245095303663764,1.558144707629925,1.3107582652894172,0.9090329277600379,65,49
1.75,3.0,1.7142857142857142,121,-15.093370274293584,36.36363636363637,13.33961912689055,-1.131469356862502,1.6122246772776456,0.9405670442553229,0.9794849285709927,77,42
1.25,3.0,2.4,125,-11.196631623425645,30.4,9.753663909943938,-1.1479410944240749,1.6770986281656621,0.7033337340495652,1.0415053368362637,87,36
2.0,4.0,2.0,120,-19.177474928903194,32.5,16.329750760390006,-1.1743887099257342,2.029603003248073,1.0418047765238014,0.9380032447958551,80,34
1.0,10.0,10.0,119,-25.259753376687975,13.445378151260504,21.48797852138432,-1.1755295339461584,2.5926378538836294,0.5316892985206634,0.7574721964839491,102,3
0.75,8.0,10.666666666666666,126,-23.596205661130703,9.523809523809524,20.070337102710063,-1.1756756022769816,3.149897904391894,0.4248201534725936,0.7804907506199446,114,6
1.25,2.0,1.6,131,-12.233730001615719,37.404580152671755,10.333279751386998,-1.1839154940108565,1.2638287813765647,0.7316914045050376,1.032149284456805,82,48
2.0,2.0,1.0,126,-17.46077610795573,46.82539682539682,14.596554986853402,-1.1962258302511812,1.205171349308287,1.1139189815570663,0.9527356210332183,67,58
0.75,3.0,4.0,132,-10.593897774514415,18.939393939393938,8.77745974280901,-1.2069434762367932,2.00070090928774,0.4344923954446267,1.0758611390657076,107,25
1.0,6.0,6.0,122,-22.789961569709604,14.754098360655737,18.8491058379953,-1.2090738821026978,2.5767213601767223,0.5426225072897629,0.8218807709865611,103,13
1.0,8.0,8.0,120,-23.751446537881236,14.166666666666666,19.611454214385603,-1.211100731146129,2.5708869627121267,0.5355048126581693,0.7923759771256343,102,7
0.75,7.0,9.333333333333334,126,-25.398721162189567,9.523809523809524,20.583883453383628,-1.233912989242779,2.968245178260935,0.4248201534725936,0.7354803163539861,114,7
1.0,7.0,7.0,120,-23.997139766723535,14.166666666666666,19.37073049267177,-1.2388350442334637,2.553479323517062,0.5355048126581693,0.7870107489702552,102,9
0.75,6.0,8.0,129,-22.279299583305225,10.852713178294573,17.907645666666287,-1.2441222033322021,2.9382504552902375,0.4343824577442148,0.8234680039433556,115,11
2.0,3.0,1.5,121,-17.986004740712694,38.84297520661157,14.198750275823425,-1.2667315356153508,1.5848624961351843,1.0655132785652603,0.944710756686995,74,44
0.5,10.0,20.0,130,-16.851474319669677,6.923076923076923,12.655284975263575,-1.331576045312935,3.5126588065532562,0.286906246283477,0.9106533790067552,121,3
0.5,6.0,12.0,132,-15.503419244124656,8.333333333333332,11.40780109397002,-1.359019070933794,3.071724531063756,0.2918204422378676,0.9569161176671108,121,10
0.5,8.0,16.0,130,-19.32437741021839,6.923076923076923,13.666249007235168,-1.4140220480387635,3.2116764111863834,0.286906246283477,0.8326239857588135,121,5
0.5,7.0,14.0,130,-20.548002070609527,6.923076923076923,14.220941485036098,-1.4449115125205347,3.0554255885486197,0.286906246283477,0.7921161119675398,121,6
0.5,3.0,6.0,135,-11.250167980893579,13.333333333333334,6.835401670594375,-1.6458678689346602,2.057496874427236,0.2913225676540153,1.0865549594394783,117,18
