strategy,trades,return_pct,win_rate,profit_factor,avg_trade_pct,max_drawdown,long_trades,short_trades,long_wr,short_wr
Momentum Scalp (EMA Cross),164,-0.6024994479551787,33.53658536585366,0.4492499522449975,-0.08423555359549033,-0.2915892585558957,90,74,36.666666666666664,29.72972972972973
Momentum Scalp (Tight),166,-0.6653419096841026,28.915662650602407,0.2719774010132983,-0.10106690944283471,-0.34554869540599675,92,74,27.173913043478258,31.08108108108108
Breakout Scalp,807,-3.4139209412274067,30.359355638166047,0.3206662212022489,-0.11520444024923114,-1.8412558578082203,402,405,30.09950248756219,30.617283950617285
Breakout Scalp (Wide),628,-2.6868025694325297,29.936305732484076,0.45439732742032696,-0.11682754936063218,-1.4800677592602771,306,322,28.104575163398692,31.67701863354037
RSI Momentum Scalp,747,-3.1477816222657204,29.852744310575634,0.32120885812683525,-0.11407255679976035,-1.6793386426151118,362,385,29.83425414364641,29.87012987012987
Candle Momentum Scalp,397,-1.7211552653613946,31.738035264483628,0.38897217007080825,-0.11864519432905465,-0.9423711975359154,183,214,31.693989071038253,31.775700934579437
Momentum All Sessions,601,-2.3301270663787728,30.782029950083196,0.3194335935078219,-0.09614085899099639,-1.1582141884503074,297,304,31.313131313131315,30.263157894736842
Momentum Wide R:R (1:3),160,-0.5926841414275623,27.500000000000004,0.508356159530945,-0.08575316860527009,-0.28755276264550295,86,74,29.069767441860467,25.675675675675674
