token,fixed_trades,fixed_return,fixed_dd,fixed_wr,fixed_rr,dynamic_trades,dynamic_return,dynamic_dd,dynamic_wr,dynamic_rr,return_improvement,dd_change,rr_improvement
FARTCOIN,238,261.81100376064205,-36.54120138235501,45.378151260504204,7.1648165319234725,238,746.5406781308648,-61.693534696084726,45.378151260504204,12.100792762296415,484.7296743702227,-25.152333313729713,4.935976230372942
PENGU,248,146.2240031421946,-36.671011360596914,43.145161290322584,3.9874548783051185,248,329.41325988456765,-64.19136640712827,43.145161290322584,5.13173777600078,183.18925674237306,-27.520355046531357,1.1442828976956618
PI,140,88.74473353625692,-21.770414722521153,44.285714285714285,4.0763915004546,140,181.7873786124523,-40.07484456930899,44.285714285714285,4.53619672306035,93.04264507619538,-18.30442984678784,0.4598052226057501
