entry_time,exit_time,entry_price,exit_price,stop_loss,size_pct,pnl_pct,pnl_dollars,capital_after,trade_num_today
2025-09-04 15:30:00,2025-09-05 14:15:00,0.7458,0.7415,0.7415,0.5,-0.006765620809868558,-33.82810404934279,9966.171895950658,0
2025-09-05 15:00:00,2025-09-05 17:30:00,0.7377,0.7305,0.7305,0.5,-0.010760065067100425,-53.618329035168344,9912.553566915489,1
2025-09-05 17:45:00,2025-09-05 18:00:00,0.7311,0.7288,0.7288,0.5,-0.0041459444672411,-20.54844830849215,9892.005118606996,2
2025-09-06 00:00:00,2025-09-06 04:00:00,0.7501,0.7477,0.7477,0.5,-0.004199573390214582,-20.771100735984188,9871.234017871011,1
2025-09-06 04:15:00,2025-09-06 04:30:00,0.7458,0.744,0.744,0.5,-0.003413515687852003,-16.847806089230527,9854.38621178178,2
2025-09-06 04:45:00,2025-09-06 05:15:00,0.7451,0.7438,0.7438,0.05,-0.00274473225070456,-1.3523825823187896,9853.033829199461,3
2025-09-07 00:00:00,2025-09-07 00:15:00,0.7319,0.7312,0.7312,0.05,-0.0019564148107665447,-0.9638310657214815,9852.06999813374,1
2025-09-07 00:15:00,2025-09-07 17:15:00,0.7327,0.7311,0.7311,0.05,-0.003183704108093416,-1.5683037863141143,9850.501694347426,2
2025-09-07 17:30:00,2025-09-21 16:15:00,0.7342,0.7288,0.7288,0.05,-0.008354944156905422,-4.11501957868875,9846.386674768737,0
2025-09-21 16:45:00,2025-09-22 00:15:00,0.7113,0.6998,0.6998,0.05,-0.017167580486433385,-8.451931786981874,9837.934742981755,0
2025-09-22 01:00:00,2025-09-22 01:15:00,0.6954,0.6908,0.6908,0.05,-0.0076148979004889965,-3.7457434309739766,9834.18899955078,1
2025-09-22 01:30:00,2025-09-22 01:45:00,0.6954,0.694,0.694,0.05,-0.0030132297958010753,-1.4816335655492792,9832.707365985232,2
2025-09-23 00:15:00,2025-09-23 00:30:00,0.6286,0.6257,0.6257,0.05,-0.005613426662424457,-2.759759084601943,9829.94760690063,1
2025-09-23 01:15:00,2025-09-24 03:15:00,0.616,0.5966,0.5966,0.05,-0.03249350649350645,-15.970473319782693,9813.977133580847,0
2025-09-24 03:45:00,2025-09-24 04:00:00,0.5647,0.5628,0.5628,0.05,-0.004364618381441496,-2.141713249613675,9811.835420331234,1
