feature,label,winner_avg,loser_avg,diff,diff_pct,abs_diff_pct
entry_consecutive_ups,Consecutive Ups,1.0,1.338235294117647,-0.33823529411764697,-25.274725274725267,25.274725274725267
entry_body_pct,Entry Body %,0.6322053119026865,0.5700903647546729,0.06211494714801358,10.895631813518461,10.895631813518461
entry_consecutive_downs,Consecutive Downs,1.0,1.0955882352941178,-0.09558823529411775,-8.724832214765108,8.724832214765108
entry_atr_ratio,ATR Ratio,0.9216635566476737,0.9960845958930307,-0.07442103924535692,-7.471357307622593,7.471357307622593
entry_ema50_dist,EMA50 Distance %,0.7567613255962448,0.80498734974865,-0.04822602415240529,-5.990904598372064,5.990904598372064
entry_volume_ratio,Volume Ratio,1.0028858589377856,1.0661933370350065,-0.06330747809722093,-5.9377109102251255,5.9377109102251255
entry_rsi,Entry RSI,48.39776060520645,48.98705194614249,-0.5892913409360432,-1.2029532652504256,1.2029532652504256
entry_hour,Entry Hour,11.958333333333334,11.830882352941176,0.1274509803921582,1.077273668945526,1.077273668945526
