trade_num,entry_time,signal_price,limit_price_above,max_price_in_trade,min_price_in_trade,bounce_above_pct,filled,original_result,actual_entry,exit_price,gross_pnl_pct,entry_fee_pct,exit_fee_pct,total_fee_pct,profit_after_fees_pct,profit_after_fees_dollar,running_balance
1,2025-11-07 06:30:00,3355.49,3355.49,3360.78,3349.04,0.15765208658051189,YES,STOP,3355.49,3349.6739285714284,-0.17333001822599312,0.02,0.05,0.06999999999999999,-0.2433300182259931,-24.333001822599307,9975.666998177401
2,2025-11-07 07:25:00,3340.99,3340.99,3360.63,3328.67,0.5878497092179363,YES,STOP,3340.99,3331.2292857142857,-0.2921503591963499,0.02,0.05,0.06999999999999999,-0.3621503591963499,-36.12691386613119,9939.54008431127
3,2025-11-07 14:36:00,3207.33,3207.33,3248.43,3194.05,1.2814397021821862,YES,TP,3207.33,3241.7871428571425,1.0743248389514821,0.02,0.05,0.06999999999999999,1.004324838951482,99.82526994427717,10039.365354255546
4,2025-11-07 22:13:00,3456.16,3456.16,3460.77,3447.11,0.1333850284709078,YES,STOP,3456.16,3448.3707142857143,-0.2253739906221239,0.02,0.05,0.06999999999999999,-0.2953739906221239,-29.653674079999533,10009.711680175546
5,2025-11-08 13:06:00,3394.56,3394.56,3409.14,3390.43,0.4295107466063327,YES,TP,3394.56,3407.181428571428,0.37181338881705345,0.02,0.05,0.06999999999999999,0.30181338881705344,30.210650032754234,10039.9223302083
6,2025-11-08 15:12:00,3393.49,3393.49,3403.86,3385.26,0.3055851055992605,YES,STOP,3393.49,3387.520357142857,-0.17591455572707873,0.02,0.05,0.06999999999999999,-0.2459145557270787,-24.689630393675507,10015.232699814624
7,2025-11-08 19:18:00,3392.45,3392.45,3397.69,3378.42,0.15446064054002967,YES,STOP,3392.45,3386.6964285714284,-0.16959929928433365,0.02,0.05,0.06999999999999999,-0.23959929928433366,-23.99642737045129,9991.236272444172
8,2025-11-09 01:32:00,3380.1,3380.1,3391.32,3380.04,0.33194284192776113,YES,TP,3380.1,3390.3749999999995,0.3039850891985336,0.02,0.05,0.06999999999999999,0.2339850891985336,23.37800310411474,10014.614275548287
9,2025-11-09 03:24:00,3362.48,3362.48,3378.37,3358.8,0.47256786657466726,YES,TP,3362.48,3377.894285714285,0.45842014567477407,0.02,0.05,0.06999999999999999,0.38842014567477406,38.898779357851375,10053.513054906138
10,2025-11-09 17:20:00,3510.62,3510.62,3525.05,3504.89,0.4110385060188882,YES,TP,3510.62,3524.7807142857137,0.403367903268191,0.02,0.05,0.06999999999999999,0.333367903268191,33.51518567593445,10087.028240582073
11,2025-11-10 14:03:00,3604.29,3604.29,3612.09,3595.04,0.2164087795377226,YES,STOP,3604.29,3597.306071428572,-0.19376711006683411,0.02,0.05,0.06999999999999999,-0.2637671100668341,-26.606262881808757,10060.421977700264
12,2025-11-11 04:11:00,3588.93,3588.93,3603.3,3576.04,0.40039789017897665,YES,STOP,3588.93,3578.921071428571,-0.27888335998274966,0.02,0.05,0.06999999999999999,-0.34888335998274966,-35.099138224243674,10025.32283947602
13,2025-11-11 07:38:00,3548.59,3548.59,3572.19,3542.05,0.6650528801580321,YES,TP,3548.59,3566.825714285714,0.5138861994683533,0.02,0.05,0.06999999999999999,0.44388619946835334,44.50102453658291,10069.823864012604
14,2025-11-11 09:44:00,3565.79,3565.79,3576.62,3552.67,0.3037195123661216,YES,STOP,3565.79,3558.341785714286,-0.20887977939570557,0.02,0.05,0.06999999999999999,-0.2788797793957056,-28.082702577494466,10041.74116143511
15,2025-11-11 10:34:00,3551.41,3551.41,3571.3,3549.04,0.5600592440748978,YES,TP,3551.41,3566.3564285714283,0.42085899886040873,0.02,0.05,0.06999999999999999,0.3508589988604087,35.232352507164805,10076.973513942274
16,2025-11-11 11:50:00,3568.39,3568.39,3587.38,3566.96,0.5321727725949305,YES,TP,3568.39,3580.9364285714287,0.3515991405487855,0.02,0.05,0.06999999999999999,0.2815991405487855,28.37667080859019,10105.350184750863
17,2025-11-12 02:20:00,3437.68,3437.68,3444.81,3424.93,0.20740732121663766,YES,STOP,3437.68,3428.255,-0.27416746177653906,0.02,0.05,0.06999999999999999,-0.34416746177653906,-34.779327234487845,10070.570857516375
18,2025-11-12 06:40:00,3446.16,3446.16,3449.41,3440.54,0.09430786730737982,YES,STOP,3446.16,3441.41,-0.13783457529540127,0.02,0.05,0.06999999999999999,-0.20783457529540128,-20.930128171541607,10049.640729344834
19,2025-11-12 14:48:00,3501.24,3501.24,3522.39,3477.74,0.6040717003118921,YES,STOP,3501.24,3480.279285714286,-0.5986654524029758,0.02,0.05,0.06999999999999999,-0.6686654524029757,-67.19847564774734,9982.442253697087
20,2025-11-12 19:28:00,3381.88,3381.88,3425.99,3372.64,1.3043041148710088,YES,TP,3381.88,3406.7407142857146,0.7351152106436211,0.02,0.05,0.06999999999999999,0.6651152106436211,66.39474182305521,10048.836995520141
21,2025-11-13 00:21:00,3408.19,3408.19,3426.67,3404.64,0.5422232915418452,YES,TP,3408.19,3424.454285714285,0.4772118254641041,0.02,0.05,0.06999999999999999,0.4072118254641041,40.9200525673698,10089.757048087511
22,2025-11-13 03:10:00,3410.5,3410.5,3423.99,3377.57,0.39554317548745876,YES,STOP,3410.5,3401.3250000000003,-0.2690221375164852,0.02,0.05,0.06999999999999999,-0.3390221375164852,-34.2065100146465,10055.550538072865
23,2025-11-13 03:15:00,3379.06,3379.06,3423.11,3377.57,1.303616982237669,YES,TP,3379.06,3413.499285714285,1.0191972239109468,0.02,0.05,0.06999999999999999,0.9491972239109469,95.4470065563499,10150.997544629214
24,2025-11-13 14:35:00,3412.58,3412.58,3452.91,3393.59,1.1818037965410315,YES,TP,3412.58,3443.1371428571424,0.8954264180515176,0.02,0.05,0.06999999999999999,0.8254264180515176,83.78901542913043,10234.786560058345
25,2025-11-13 19:55:00,3180.53,3180.53,3200.39,3159.57,0.6244242311815852,YES,STOP,3180.53,3161.169285714286,-0.6087260389216275,0.02,0.05,0.06999999999999999,-0.6787260389216274,-69.46616141116709,10165.320398647178
26,2025-11-14 04:32:00,3192.55,3192.55,3204.88,3180.0,0.3862116489953149,YES,STOP,3192.55,3180.3625,-0.38174813237067545,0.02,0.05,0.06999999999999999,-0.45174813237067546,-45.92164505038393,10119.398753596794
27,2025-11-14 04:38:00,3134.23,3134.23,3190.96,3110.17,1.8100139428184918,YES,TP,3134.23,3183.4121428571425,1.569193800619051,0.02,0.05,0.06999999999999999,1.4991938006190508,151.7093987738446,10271.108152370638
28,2025-11-14 12:34:00,3091.75,3091.75,3144.88,3070.19,1.7184442467858045,YES,TP,3091.75,3134.510714285714,1.3830586006538086,0.02,0.05,0.06999999999999999,1.3130586006538085,134.86566897715716,10405.973821347796
29,2025-11-14 17:47:00,3191.43,3191.43,3200.89,3170.8,0.2964188467238836,YES,STOP,3191.43,3177.7710714285718,-0.4279877224763845,0.02,0.05,0.06999999999999999,-0.4979877224763845,-51.820472034418685,10354.153349313377
30,2025-11-14 22:14:00,3144.7,3144.7,3169.92,3142.23,0.8019842910293592,YES,TP,3144.7,3169.274999999999,0.7814735904855588,0.02,0.05,0.06999999999999999,0.7114735904855588,73.66706659874063,10427.820415912118
31,2025-11-15 05:12:00,3161.42,3161.42,3176.66,3161.4,0.4820618582788678,YES,TP,3161.42,3172.7414285714285,0.3581121322515971,0.02,0.05,0.06999999999999999,0.2881121322515971,30.043815747651763,10457.864231659769
