entry_idx,exit_idx,entry_price,exit_price,pnl_pct,exit_reason,winner,equity,drawdown,entry_rsi,entry_atr_pct,entry_vol_ratio,entry_trend,entry_price_position,entry_body_pct,entry_upper_wick,entry_hour,entry_dow,bars_held,token
52,97,0.7496,0.7720880000000001,-3.0100000000000082,stop_loss,False,0.9698999999999999,3.0100000000000127,48.000000000000064,0.6403415154749224,1.0,-0.29587514885549665,0.2941176470588279,0.133226751931788,0.41355389541088466,1,4,45,FARTCOIN
61,191,0.752,0.78208,-4.01,stop_loss,False,0.9599,4.0100000000000025,46.222222222222136,0.3599924012158059,1.0,-0.015900890232053693,0.3804347826086905,0.11953778722274032,0.026595744680848136,5,4,130,CRV
96,321,0.02897,0.0304185,-5.010000000000007,stop_loss,False,0.9499,5.010000000000003,44.22604422604422,1.2212140638098523,1.0,0.46564631005517443,0.07207207207207122,0.33371176936044267,0.13807386952019965,14,4,225,PENGU
96,377,0.3597,0.37408800000000003,-4.010000000000003,stop_loss,False,0.9599,4.0100000000000025,43.39622641509438,0.7446681758608348,1.0,0.35907853685291136,0.23770491803278823,0.08333333333332416,0.1668056713928244,14,4,281,XLM
100,370,0.1902,0.19971000000000003,-5.01000000000001,stop_loss,False,0.9498999999999999,5.010000000000014,46.73913043478266,0.5670722547694178,0.6821239447238167,0.383613028385129,0.20754716981132412,0.05254860746189647,0.10515247108307346,14,4,270,MELANIA
104,330,0.7388,0.7609640000000001,-3.0100000000000096,stop_loss,False,0.9407060099999998,5.929399000000024,38.35820895522394,1.3419444659293065,1.0,-0.10755836156786677,0.12847965738758052,3.0573415562262154,0.0,14,4,226,FARTCOIN
197,366,0.7557,0.7859280000000001,-4.010000000000004,stop_loss,False,0.9214080099999999,7.859199000000006,45.86288416075655,0.6918845346792948,1.0,0.15710159448735214,0.05089820359281544,0.46101159114857054,0.0,15,5,169,CRV
397,703,0.7875,0.819,-4.009999999999997,stop_loss,False,0.8844595487989999,11.55404512010001,43.98826979472147,0.5859410430839003,1.0,0.6388035947038603,0.3236994219653147,0.20276264098340463,0.050793650793645194,17,0,306,CRV
398,648,0.376,0.39104,-4.01,stop_loss,False,0.9214080099999999,7.859199000000006,35.897435897435855,0.5205167173252275,1.0,0.9665580552594782,0.053191489361702066,0.21231422505308462,0.23936170212764799,18,0,250,XLM
402,784,0.2,0.21000000000000002,-5.010000000000005,stop_loss,False,0.9023100099999999,9.768999000000012,50.0,0.7464285714285714,0.3170952691878097,0.5060416648295374,0.3620689655172446,0.09990009990008891,0.5000000000000004,18,0,382,MELANIA
