strategy,return,max_dd,final_equity,rr_ratio,return_vs_fixed,dd_vs_fixed
Fixed 100%,288.403548196959,-30.447784587043035,3.88403548196959,9.472070040842587,0.0035481969590023255,0.0022154129569642578
±10% (0.5-1.5x),226.51892981639102,-29.2896760131024,3.2651892981639103,7.733746515839246,-61.881070183608955,1.1603239868975983
±10% (0.6-1.4x),261.68477628804516,-28.7287521141078,3.6168477628804516,9.108811104939706,-26.71522371195482,1.7212478858922005
±10% (0.7-1.3x),277.6665424847997,-28.57558228723652,3.776665424847997,9.716916341152613,-10.733457515200257,1.8744177127634778
±15% (0.5-1.5x),266.1252573655951,-27.696892018580794,3.6612525736559505,9.608488099930554,-22.2747426344049,2.7531079814192054
±15% (0.6-1.4x),273.3330040839237,-27.96470767157013,3.733330040839237,9.774212814740176,-15.06699591607628,2.4852923284298676
±8% (0.5-1.5x),218.98936111811219,-30.78381018985814,3.189893611181122,7.11378350397506,-69.41063888188779,-0.33381018985814137
+15%/-10% (0.5-1.5x),389.3092222067101,-33.618127656740185,4.893092222067101,11.580336245426103,100.90922220671013,-3.168127656740186
+10%/-15% (0.5-1.5x),118.8796310355972,-19.81671977429905,2.188796310355972,5.998956052745726,-169.5203689644028,10.63328022570095
+12%/-8% (0.5-1.5x),380.8772160940439,-35.04937879687667,4.808772160940439,10.86687493953487,92.47721609404391,-4.5993787968766675
+10%/-5% (0.5-1.5x),483.5593042347445,-41.39089249700111,5.835593042347445,11.68274649477007,195.15930423474452,-10.940892497001112
+20%/-10% (0.5-2.0x),735.704837196446,-50.831686207333185,8.35704837196446,14.473351015656652,447.304837196446,-20.381686207333185
+15%/-5% (0.6-1.8x),696.4246592621223,-49.64510346193108,7.9642465926212225,14.028063408028862,408.0246592621223,-19.19510346193108
