direction,entry,exit,pnl,bars,exit_reason,zone_bars
LONG,7.729,7.713214285714286,-0.003042400606251049,36,SL,7
LONG,7.943,7.922642857142857,-0.003562903544900297,10,SL,6
LONG,7.596,7.5845714285714285,-0.0025045512675844197,2,SL,7
LONG,7.496,7.616357142857142,0.015056182344869495,9,TP,7
LONG,7.177,7.151642857142857,-0.0045331117259499445,5,SL,7
LONG,6.997,7.136,0.018865656710018608,60,TIME,8
LONG,7.089,7.1615,0.009227112427704909,4,TP,5
LONG,7.055,7.163214285714285,0.014338665586716481,13,TP,6
LONG,7.16,7.255,0.0122681564245809,60,TIME,7
LONG,7.133,7.179785714285713,0.005559051491057399,33,TP,5
LONG,7.175,7.167857142857143,-0.0019955201592831697,7,SL,5
LONG,7.181,7.178571428571428,-0.0013381940438061948,20,SL,5
LONG,7.045,7.04,-0.0017097232079489313,9,SL,6
LONG,7.043,7.0375000000000005,-0.0017809172227742911,4,SL,7
LONG,6.949,6.995785714285713,0.005732726188762861,19,TP,5
LONG,6.924,7.004714285714288,0.010657175868614588,32,TP,7
LONG,6.623,6.679071428571429,0.007466167684044956,36,TP,6
LONG,6.324,6.365,0.0054832384566730905,60,TIME,6
LONG,6.243,6.234785714285715,-0.0023157593647742383,6,SL,5
LONG,6.268,6.257571428571429,-0.002663779742911764,3,SL,5
LONG,6.2,6.2060714285714305,-2.0737327188657083e-05,7,TP,7
LONG,6.207,6.204,-0.0014833252779120612,1,SL,6
LONG,6.094,6.086071428571429,-0.002301045524872313,1,SL,5
LONG,5.891,5.864571428571429,-0.005486262337221381,7,SL,7
LONG,5.78,5.771714285714286,-0.0024335145823034523,33,SL,5
LONG,5.714,5.765785714285715,0.00806295314765737,10,TP,5
LONG,5.749,5.746428571428571,-0.0014472827572497007,7,SL,5
LONG,6.032,6.025071428571429,-0.0021486358469117164,37,SL,5
LONG,6.019,6.064357142857143,0.0065356608833931915,59,TP,6
LONG,5.938,5.932928571428571,-0.0018540634172160555,4,SL,5
LONG,5.854,5.869,0.0015623505295524484,60,TIME,5
LONG,5.702,5.728785714285715,0.003697599839655453,40,TP,7
LONG,5.666,5.686357142857144,0.00259285966416234,55,TP,5
LONG,5.578,5.560785714285714,-0.004086103570148047,4,SL,6
SHORT,8.083,8.131857142857143,-0.007008116227184113,1,SL,7
SHORT,7.91,7.842857142857143,0.007561020036429889,15,TP,7
SHORT,7.084,7.031499999999998,0.0064664011946243835,33,TP,5
SHORT,7.117,7.1227857142857145,-0.0018122825138640044,18,SL,6
SHORT,6.91,6.9175,-0.0020842067220817597,1,SL,7
SHORT,6.84,6.854,-0.0030426028596440826,5,SL,5
SHORT,6.377,6.337178571428573,0.005283778833527487,18,TP,5
SHORT,6.335,6.274285714285715,0.00867668488160278,22,TP,8
SHORT,6.431,6.406714285714283,0.002790666042322144,16,TP,7
SHORT,6.361,6.327428571428571,0.004305698546012705,34,TP,5
SHORT,6.234,6.198285714285714,0.004761961832764895,9,TP,5
SHORT,6.257,6.263214285714286,-0.001992187945486722,7,SL,5
SHORT,6.071,6.077071428571428,-0.0019990714512394528,7,SL,6
SHORT,5.831,5.790642857142859,0.005969371769726784,7,TP,5
SHORT,6.075,6.0869285714285715,-0.002959702876186631,10,SL,6
SHORT,6.071,6.079857142857143,-0.0024568011466434827,7,SL,6
SHORT,6.093,6.100428571428571,-0.0022177130412382997,9,SL,5
SHORT,6.07,6.079071428571429,-0.002492239181265953,13,SL,5
SHORT,5.99,5.993142857142857,-0.0015244088482073695,6,SL,5
SHORT,5.738,5.719071428571431,0.0023097281027136827,9,TP,5
