Edge_Type,Condition,Avg_Return_%,Volatility_%,WinRate_%,Sample_Size,Abs_Return
RSI_Extreme,Oversold (RSI 30),0.05806640857601124,0.4402370235213191,66.97513013302488,3458,0.05806640857601124
RSI_Extreme,Overbought (RSI 70),-0.050570269137831664,0.39403763098895245,45.6198347107438,3025,0.050570269137831664
SMA_Distance,Far_Below SMA50 (2.0%),0.022819428997202285,0.9144786332941568,44.07582938388626,211,0.022819428997202285
SMA_Distance,Far_Above SMA50 (2.0%),-0.019596842752765176,0.8003817669423064,50.0,146,0.019596842752765176
Hour_of_Day,23:00,-0.007036860060824965,0.2097414425410309,22.11111111111111,1800,0.007036860060824965
Hour_of_Day,21:00,0.004809938746455152,0.20925807821677525,25.5,1800,0.004809938746455152
Hour_of_Day,09:00,-0.004496982851380269,0.20328808943851745,24.27777777777778,1800,0.004496982851380269
Hour_of_Day,13:00,-0.004004089562342982,0.21174558783457884,26.263187118267627,1801,0.004004089562342982
Hour_of_Day,22:00,0.003765494401728865,0.20613815752741588,24.833333333333332,1800,0.003765494401728865
Hour_of_Day,10:00,0.003282259698544509,0.18797265763822496,23.333333333333332,1800,0.003282259698544509
Hour_of_Day,12:00,0.0032489643380062797,0.21503795338038167,24.61111111111111,1800,0.0032489643380062797
Hour_of_Day,14:00,0.0030033012656755756,0.2572150648021321,27.055555555555554,1800,0.0030033012656755756
Hour_of_Day,07:00,-0.0029775711783413352,0.21011643184866124,23.5,1800,0.0029775711783413352
Hour_of_Day,11:00,-0.002797617033909646,0.19164724363911423,23.333333333333332,1800,0.002797617033909646
Hour_of_Day,18:00,-0.0026926816404376098,0.23282641500552542,27.0,1800,0.0026926816404376098
Day_of_Week,Friday,-0.0022438493683832137,0.25396347131514624,26.503583670925522,6418,0.0022438493683832137
Day_of_Week,Thursday,-0.002066051798269534,0.21186417981809888,25.17361111111111,5760,0.002066051798269534
Hour_of_Day,02:00,0.001883150544035286,0.20514530822316293,24.166666666666668,1800,0.001883150544035286
Day_of_Week,Tuesday,0.00181089524896121,0.21213312955787136,25.677083333333332,5760,0.00181089524896121
Hour_of_Day,19:00,0.0016536503226974495,0.20789604591598038,25.666666666666664,1800,0.0016536503226974495
Hour_of_Day,16:00,-0.0013826884753919747,0.2586648253688267,28.61111111111111,1800,0.0013826884753919747
Hour_of_Day,04:00,-0.001017790140970735,0.2002659102321183,22.833333333333332,1800,0.001017790140970735
Hour_of_Day,15:00,-0.0009437906218723383,0.25819062504988516,26.666666666666668,1800,0.0009437906218723383
Hour_of_Day,03:00,0.0008680974949622192,0.20088098734445475,22.944444444444446,1800,0.0008680974949622192
Day_of_Week,Wednesday,0.0007497689845723506,0.21882061455020463,25.763888888888886,5760,0.0007497689845723506
Hour_of_Day,01:00,-0.0005386941529746762,0.20596508745504769,25.055555555555554,1800,0.0005386941529746762
Hour_of_Day,08:00,-0.0005218505585235697,0.20037815303368733,22.88888888888889,1800,0.0005218505585235697
Hour_of_Day,00:00,-0.0004755744351390577,0.22549761639094246,25.333333333333336,1800,0.0004755744351390577
Hour_of_Day,17:00,0.00046531856998414435,0.24085625975664715,28.444444444444443,1800,0.00046531856998414435
Day_of_Week,Saturday,0.0004212972756700449,0.1961435318431909,23.055555555555557,7200,0.0004212972756700449
Day_of_Week,Sunday,-0.00033158199357102624,0.19247734658580845,22.879413113250802,6543,0.00033158199357102624
Hour_of_Day,20:00,-0.0002984547125024184,0.20690209299134474,24.27777777777778,1800,0.0002984547125024184
Hour_of_Day,05:00,-0.00013478320211120066,0.1920725484261491,24.0,1800,0.00013478320211120066
Day_of_Week,Monday,-0.00011922144259459013,0.2146259587441572,25.364583333333336,5760,0.00011922144259459013
Hour_of_Day,06:00,2.106997893883442e-05,0.1931934920884576,23.5,1800,2.106997893883442e-05
