entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,bars_held,pnl_pct,exit_reason
2025-12-02 04:53:00,2025-12-02 05:10:00,SHORT,0.17974,0.18158392857142858,0.18158392857142858,0.1674471428571429,17,-1.1154690373400666,SL
2025-12-02 05:10:00,2025-12-02 06:26:00,LONG,0.18187,0.1946557142857143,0.17995214285714287,0.1946557142857143,75,6.930139267451641,TP
2025-12-02 06:37:00,2025-12-02 07:03:00,SHORT,0.18977,0.19255785714285714,0.19255785714285714,0.17118428571428573,26,-1.5478023302829214,SL
2025-12-02 07:33:00,2025-12-02 07:41:00,SHORT,0.19062,0.1951982142857143,0.1951982142857143,0.16009857142857145,8,-2.445418118945031,SL
2025-12-02 07:43:00,2025-12-02 09:43:00,LONG,0.1978,0.20729,0.1943125,0.22105,120,4.6977755308392215,Time
2025-12-02 09:57:00,2025-12-02 11:17:00,SHORT,0.20262,0.20485928571428572,0.20485928571428572,0.18769142857142856,80,-1.1930848003682049,SL
2025-12-02 11:36:00,2025-12-02 12:37:00,SHORT,0.20206,0.20421142857142857,0.20421142857142857,0.1877171428571428,61,-1.1535299549486622,SL
2025-12-02 13:14:00,2025-12-02 13:29:00,SHORT,0.20352,0.20583107142857143,0.20583107142857143,0.1881128571428572,15,-1.2228000770395986,SL
2025-12-02 13:29:00,2025-12-02 14:25:00,LONG,0.20621,0.20381642857142857,0.20381642857142857,0.22216714285714284,56,-1.260744594622687,SL
2025-12-02 14:41:00,2025-12-02 15:17:00,LONG,0.20627,0.20430607142857143,0.20430607142857143,0.2193628571428572,36,-1.0521154658595933,SL
2025-12-02 15:45:00,2025-12-02 15:50:00,LONG,0.20421,0.2015775,0.2015775,0.22176,5,-1.3891141472014201,SL
2025-12-02 16:00:00,2025-12-02 16:02:00,SHORT,0.19989,0.20238,0.20238,0.18329000000000006,2,-1.330358731099912,SL
2025-12-02 16:04:00,2025-12-02 18:04:00,LONG,0.20312,0.21292,0.20070928571428573,0.2191914285714285,120,4.72473414730209,Time
