trade_num,signal_time,entry_time,exit_time,signal_price,entry_price,exit_price,pnl_pct,result,bars_held,signal_rsi,sl_dist_pct,tp_dist_pct,equity_before,equity_after,running_pnl,peak_equity,dd_pct,max_dd_so_far,consecutive_losses,consecutive_wins,cumulative_wins,cumulative_losses,running_win_rate
1,2025-11-09 16:03:00,2025-11-09 16:04:00,2025-11-09 16:05:00,0.09638,0.09758474999999998,0.0970940357142857,-0.5028596022578209,SL,1,58.601134215500885,0.5028596022578209,1.7825897123123526,100.0,99.39714039774218,-0.6028596022578228,100.0,0.6028596022578228,0.6028596022578228,1,0,0,1,0.0
2,2025-11-09 16:25:00,2025-11-09 16:26:00,2025-11-09 16:27:00,0.0993,0.10054125,0.10305428571428572,2.499507131934131,TP,1,59.23566878980884,0.6223458388614475,2.499507131934131,99.39714039774218,101.78218187052458,1.7821818705245818,101.78218187052458,0.0,0.6028596022578228,0,1,1,1,50.0
3,2025-11-09 19:39:00,2025-11-09 19:45:00,2025-11-09 19:47:00,0.10218,0.10345725,0.10310225,-0.34313689954062593,SL,2,55.45243619489572,0.34313689954062593,0.824253496009234,101.78218187052458,101.33114746549873,1.3311474654987308,101.78218187052458,0.44313689954063307,0.6028596022578228,1,0,1,2,33.33333333333333
4,2025-11-12 15:28:00,2025-11-12 15:30:00,2025-11-12 15:31:00,0.09753,0.09874912500000001,0.09823626785714286,-0.5193536072923666,SL,1,57.88530465949822,0.5193536072923666,1.881553742519602,101.33114746549873,100.70354934836043,0.7035493483604256,101.78218187052458,1.0597459224604426,1.0597459224604426,2,0,1,3,25.0
5,2025-11-20 12:52:00,2025-11-20 12:54:00,2025-11-20 12:56:00,0.08305,0.084088125,0.08508142857142857,1.1812649781744713,TP,2,58.29596412556061,0.4026388132348345,1.1812649781744713,100.70354934836043,101.79242155924288,1.7924215592428823,101.79242155924288,0.0,1.0597459224604426,0,1,2,3,40.0
6,2025-11-21 12:37:00,2025-11-21 12:45:00,2025-11-21 12:57:00,0.06828,0.06913349999999999,0.06861064285714284,-0.7563006977183918,SL,12,55.424063116370746,0.7563006977183918,3.3032362850757733,101.79242155924288,100.92077234320664,0.9207723432066359,101.79242155924288,0.8563006977183947,1.0597459224604426,1,0,2,4,33.33333333333333
7,2025-11-23 05:41:00,2025-11-23 05:47:00,2025-11-23 05:48:00,0.07291,0.073821375,0.073551375,-0.36574772550632184,SL,1,55.55555555555557,0.36574772550632184,0.9599184518034302,100.92077234320664,100.45073614145473,0.4507361414547262,101.79242155924288,1.3180602222016098,1.3180602222016098,2,0,2,5,28.57142857142857
8,2025-11-25 16:32:00,2025-11-25 16:40:00,2025-11-25 16:41:00,0.07986,0.08085824999999999,0.08047896428571427,-0.46907484924014664,SL,1,60.291060291060326,0.46907484924014664,1.5798811942062705,100.45073614145473,99.87909626619712,-0.12090373380287645,101.79242155924288,1.8796343222193697,1.8796343222193697,3,0,2,6,25.0
9,2025-11-28 12:37:00,2025-11-28 12:40:00,2025-11-28 12:41:00,0.08154,0.08255925,0.08228782142857144,-0.3287682136508766,SL,1,55.70291777188325,0.3287682136508766,0.7380413806707431,99.87909626619712,99.45084644932591,-0.5491535506740917,101.79242155924288,2.3003432613637,2.3003432613637,4,0,2,7,22.22222222222222
10,2025-11-28 13:17:00,2025-11-28 13:18:00,2025-11-28 13:19:00,0.08421,0.085262625,0.08462405357142856,-0.748946479857303,SL,1,62.083333333333236,0.748946479857303,3.2591109779092,99.45084644932591,98.60656198920606,-1.3934380107939432,101.79242155924288,3.129761058079029,3.129761058079029,5,0,2,8,20.0
11,2025-11-28 14:10:00,2025-11-28 14:17:00,2025-11-28 14:26:00,0.08563,0.086700375,0.08848428571428572,2.057558245031498,TP,9,55.64053537284887,0.548687691044344,2.057558245031498,98.60656198920606,100.53684287356785,0.5368428735678492,101.79242155924288,1.2334697086897475,3.129761058079029,0,1,3,8,27.27272727272727
12,2025-11-28 15:11:00,2025-11-28 15:17:00,2025-11-28 15:35:00,0.09185,0.092998125,0.09174741071428572,-1.3448811852005462,SL,18,56.51408450704228,1.3448811852005462,6.8347192099686955,100.53684287356785,99.08420494669303,-0.9157950533069652,101.79242155924288,2.660528722144284,3.129761058079029,1,0,3,9,25.0
13,2025-12-02 15:07:00,2025-12-02 15:15:00,2025-12-02 15:16:00,0.07502,0.07595775,0.07565417857142857,-0.39965826867097937,SL,1,57.96460176991147,0.39965826867097937,1.1633817107913067,99.08420494669303,98.58912252372998,-1.4108774762700165,101.79242155924288,3.146893439064703,3.146893439064703,2,0,3,10,23.076923076923077
14,2025-12-02 16:04:00,2025-12-02 16:05:00,2025-12-02 16:06:00,0.0779,0.07887374999999999,0.08002571428571427,1.4605166937216465,TP,1,59.01639344262286,0.44918076582603184,1.4605166937216465,98.58912252372998,99.930443993859,-0.06955600614099922,101.79242155924288,1.82919075591518,3.146893439064703,0,1,4,10,28.57142857142857
