direction,signals,trades,return,max_dd,return_dd,win_rate
long,2,2,8.800000000000008,-0.01,880.0000000000008,0.5
short,1,1,-1.0999999999999994,-0.01,109.99999999999994,0.0
both,3,3,7.700000000000009,-1.0999999999999994,7.0000000000000115,0.3333333333333333
