pnl,exit_reason,hold_candles
0.49323604710702895,TP,1
-0.6470710438574155,SL,2
0.832527075812281,TP,4
-0.6728938906752423,SL,8
-0.30961661341852803,SL,1
-0.5350895728066072,SL,12
0.5145218611176022,TP,2
0.2515434083601255,TP,6
0.36638033991731905,TP,8
-0.3978122843340213,SL,8
-0.3656864564007344,SL,1
0.37206607724523205,TP,3
-0.49016806722690254,SL,5
-0.3154991816693921,SL,1
-0.3825723547117339,SL,5
0.34948263807969965,TP,6
-0.36761904761903985,SL,1
0.3976174888940762,TP,16
0.2546753246753215,TP,2
-0.27871985157698653,SL,1
-0.33217664879981407,SL,4
0.3281264637002423,TP,2
0.2329596830575693,TP,1
-0.26289221416881303,SL,2
0.4250495049504904,TP,3
-0.49502951593860484,SL,16
0.5500810875268305,TP,4
-0.3720611229566515,SL,7
0.5043000717875015,TP,14
-0.4109906676238312,SL,1
-0.30175659614926975,SL,5
0.12015925837889452,TP,4
0.07238253440910711,TP,3
-0.2109774436090172,SL,3
0.11859028760019082,TP,2
-0.22859962406014786,SL,3
-0.37106257378985263,SL,7
-0.21261944378416384,SL,3
0.16849272597185355,TP,2
0.16809523809523377,TP,5
0.14392916567624575,TP,4
-0.2667564989267859,SL,1
-0.32210084033613207,SL,2
-0.4150363196125885,SL,1
-0.4520033955857421,SL,29
0.4681604696673325,TP,40
-0.3600652646845574,SL,24
0.2458406219630638,TP,1
0.09920473773265487,TP,1
0.16969319271332262,TP,6
0.2655704697986545,TP,7
0.22105020616056603,TP,4
0.1923419985690431,TP,3
-0.28464345337466396,SL,4
0.3135091083413276,TP,3
0.16809523809523377,TP,5
-0.45896746817538125,SL,10
-0.36908515130189223,SL,9
-0.22807962529273756,SL,2
-0.26352568613652666,SL,1
0.2836067892503542,TP,3
0.23696576151120913,TP,5
-0.24709563164108647,SL,10
0.2114919071076739,TP,3
0.3735107376283864,TP,7
0.2567973856209119,TP,27
0.1876112412177981,TP,3
0.21103044496487444,TP,2
0.23645921735029954,TP,3
0.33141676505312284,TP,11
-0.3898294243070452,SL,1
0.4046084480303805,TP,5
-0.43644951140065485,SL,1
0.44353874883286554,TP,3
-0.2979635258358611,SL,13
0.20965509205313773,TP,1
0.32617804707526804,TP,2
0.233951367781162,TP,16
0.23148423005565177,TP,1
-0.3496550920531377,SL,10
0.3515456674473186,TP,3
-0.3317496510004658,SL,9
0.2567973856209119,TP,13
0.07028524666822009,TP,1
-0.24535655833528205,SL,6
0.2589473684210495,TP,2
0.3460887656033267,TP,12
-0.400473098330239,SL,8
0.3028734560708503,TP,1
-0.3300554785020809,SL,3
0.39457607433216346,TP,7
-0.34605244996549667,SL,3
-0.4514147018030574,SL,12
-0.5229616724738712,SL,9
-0.6329838142153339,SL,6
-0.3866783954961245,SL,5
0.472197076850545,TP,7
-0.24421602787456473,SL,1
0.2329596830575693,TP,1
-0.261326530612248,SL,4
0.20605244996549665,TP,4
-0.414510794671567,SL,7
0.3953327128897077,TP,6
0.23246626337830867,TP,3
0.4092332268370561,TP,4
0.1582062984938343,TP,7
-0.27637468470534865,SL,1
0.27451079467156697,TP,11
-0.3313240418118471,SL,1
0.3735107376283864,TP,8
0.37134727061556494,TP,7
0.3622111010009116,TP,4
-0.2240392514833385,SL,1
-0.34516624627379366,SL,2
0.27562211981566875,TP,4
-0.26163763066202395,SL,4
-0.45515406162465605,SL,42
0.3764285714285731,TP,9
-0.26416333254883817,SL,1
0.23696576151120913,TP,6
0.3808780256288579,TP,1
0.40539814594722223,TP,2
0.23900879486569304,TP,5
-0.23071428571428315,SL,4
0.168891543239365,TP,1
-0.17660980810234841,SL,2
-0.1945847176079652,SL,1
0.12015925837889452,TP,2
0.21619127116623274,TP,1
0.2638898163605978,TP,1
0.07238253440910711,TP,3
0.1919047619047614,TP,4
-0.3745867176301879,SL,1
0.4573250239693183,TP,9
0.24004054376340817,TP,3
0.19322086623594112,TP,1
-0.3392031586503953,SL,6
0.5312506012506119,TP,17
0.4118116116598466,TP,7
0.43505050505050025,TP,33
-0.3033094041636703,SL,7
-0.359086966995908,SL,2
0.38849420849421024,TP,4
0.22105020616056603,TP,1
0.09891891891891731,TP,4
-0.23316171138505906,SL,9
0.17213075060532249,TP,7
-0.25221574344023356,SL,3
0.1981618722574349,TP,1
0.22354207436399556,TP,2
0.07552510308027584,TP,3
-0.21602092966658,SL,4
0.07702278853221693,TP,2
0.3240886699507288,TP,3
0.20046963363658665,TP,1
0.27423407917383485,TP,1
0.12569471624266373,TP,3
0.07677103718199053,TP,1
0.2000049091801664,TP,3
0.07552510308027584,TP,2
0.12436345966958437,TP,1
-0.27043731778425983,SL,20
0.14978021978021144,TP,7
-0.21677103718199053,SL,2
-0.2170227885322169,SL,2
0.24317754757888954,TP,11
0.24004054376340817,TP,8
0.168891543239365,TP,2
-0.21261944378416384,SL,1
0.12047619047619268,TP,3
-0.23071428571428315,SL,6
-0.28216407355021816,SL,7
0.16969319271332262,TP,4
-0.14178750897343592,SL,2
-0.2890313944998845,SL,3
-0.3640455770644484,SL,12
0.1793143854400354,TP,2
0.33100250626566885,TP,2
-0.3514610958218669,SL,3
0.2814938488576416,TP,2
0.38431600201919497,TP,14
-0.27604395604395937,SL,4
-0.33362038664323124,SL,23
-0.2214386673397217,SL,1
0.22813664596273633,TP,4
0.05444001991040832,TP,1
0.029552015928323697,TP,1
0.07932802389247817,TP,3
0.1793143854400354,TP,24
-0.23828721017202423,SL,2
-0.18238761238761553,SL,1
0.10513134851138184,TP,1
0.13050125313283442,TP,1
0.2563871453678207,TP,2
-0.1631677018633542,SL,2
-0.2006620209059295,SL,2
-0.3640455770644484,SL,3
0.2748275862068932,TP,3
0.15091310751103726,TP,2
0.12370460048426375,TP,1
-0.19690355329949832,SL,1
0.2215451895043766,TP,1
0.27013605442176547,TP,5
-0.2339941690962073,SL,1
-0.25283764017552446,SL,1
0.24800391389431767,TP,4
-0.19733446519525216,SL,1
0.197705037722073,TP,13
0.051270919233572784,TP,2
0.12436345966958437,TP,1
0.09920473773265487,TP,1
