entry_time,exit_time,entry_price,exit_price,sl_price,tp_price,direction,pnl_pct,pnl_after_fees,hold_candles,exit_reason,winner
2025-11-07 14:37:00,2025-11-07 14:42:00,5.53e-06,5.596428571428572e-06,5.4967857142857145e-06,5.596428571428572e-06,LONG,1.2012399896667607,1.1312399896667609,5,TP,True
2025-11-08 00:59:00,2025-11-08 01:03:00,6.11e-06,6.163571428571429e-06,6.083214285714286e-06,6.163571428571429e-06,LONG,0.8767827916764103,0.8067827916764103,4,TP,True
2025-11-08 03:40:00,2025-11-08 03:56:00,6.22e-06,6.199642857142857e-06,6.199642857142857e-06,6.260714285714285e-06,LONG,-0.3272852549379859,-0.3972852549379859,16,SL,False
2025-11-08 08:17:00,2025-11-08 08:22:00,6.09e-06,6.12e-06,6.075e-06,6.12e-06,LONG,0.4926108374384189,0.4226108374384189,5,TP,True
2025-11-08 09:01:00,2025-11-08 09:06:00,6.15e-06,6.136071428571429e-06,6.136071428571429e-06,6.177857142857143e-06,LONG,-0.22648083623692866,-0.29648083623692867,5,SL,False
2025-11-08 09:48:00,2025-11-08 10:08:00,6.1e-06,6.142857142857143e-06,6.0785714285714286e-06,6.142857142857143e-06,LONG,0.7025761124121792,0.6325761124121791,20,TP,True
2025-11-08 11:37:00,2025-11-08 11:38:00,6.14e-06,6.125e-06,6.125e-06,6.169999999999999e-06,LONG,-0.24429967426709864,-0.31429967426709865,1,SL,False
2025-11-08 13:05:00,2025-11-08 13:07:00,6.11e-06,6.0982142857142855e-06,6.0982142857142855e-06,6.133571428571428e-06,LONG,-0.19289221416881303,-0.26289221416881303,2,SL,False
2025-11-08 19:19:00,2025-11-08 19:24:00,6.01e-06,5.996071428571429e-06,5.996071428571429e-06,6.037857142857142e-06,LONG,-0.23175659614926977,-0.30175659614926975,5,SL,False
2025-11-08 23:08:00,2025-11-08 23:11:00,6.06e-06,6.077142857142857e-06,6.051428571428571e-06,6.077142857142857e-06,LONG,0.2828854314002862,0.21288543140028618,3,TP,True
2025-11-09 00:04:00,2025-11-09 00:16:00,6.06e-06,6.049285714285714e-06,6.049285714285714e-06,6.081428571428571e-06,LONG,-0.1768033946251771,-0.2468033946251771,12,SL,False
2025-11-09 00:55:00,2025-11-09 01:03:00,6e-06,6.021428571428572e-06,5.989285714285714e-06,6.021428571428572e-06,LONG,0.35714285714285776,0.28714285714285775,8,TP,True
2025-11-09 02:31:00,2025-11-09 02:33:00,5.96e-06,5.945e-06,5.945e-06,5.989999999999999e-06,LONG,-0.25167785234899087,-0.3216778523489909,2,SL,False
2025-11-09 02:34:00,2025-11-09 02:52:00,5.92e-06,5.9039285714285715e-06,5.9039285714285715e-06,5.952142857142857e-06,LONG,-0.2714768339768344,-0.3414768339768344,18,SL,False
2025-11-09 11:23:00,2025-11-09 11:33:00,5.99e-06,5.978214285714286e-06,5.978214285714286e-06,6.013571428571428e-06,LONG,-0.19675649892678587,-0.2667564989267859,10,SL,False
2025-11-09 18:08:00,2025-11-09 18:38:00,6.04e-06,6.065714285714285e-06,6.0271428571428566e-06,6.065714285714285e-06,LONG,0.4257332071901588,0.3557332071901588,30,TP,True
2025-11-09 22:36:00,2025-11-09 22:43:00,6.06e-06,6.087857142857143e-06,6.0460714285714285e-06,6.087857142857143e-06,LONG,0.45968882602546335,0.38968882602546334,7,TP,True
2025-11-10 01:07:00,2025-11-10 01:11:00,6.11e-06,6.157142857142857e-06,6.086428571428572e-06,6.157142857142857e-06,LONG,0.7715688566752382,0.7015688566752382,4,TP,True
