trade_num,entry_time,exit_time,signal_price,limit_price,min_price,stop,target,filled,result,actual_entry,exit_price,gross_pnl_pct,entry_fee_pct,exit_fee_pct,total_fee_pct,profit_after_fees_pct,profit_after_fees_dollar,running_balance
1,2025-11-07 06:30:00,2025-11-07 06:53:00,3355.49,3354.3155785,3349.04,3349.6739285714284,3367.122142857142,YES,STOP,3354.3155785,3349.6739285714284,-0.138378450683736,0.02,0.05,0.06999999999999999,-0.208378450683736,-20.837845068373603,9979.162154931626
2,2025-11-07 07:25:00,2025-11-07 09:06:00,3340.99,3339.8206535,3328.67,3331.2292857142857,3360.511428571428,YES,STOP,3339.8206535,3331.2292857142857,-0.2572403933340214,0.02,0.05,0.06999999999999999,-0.3272403933340214,-32.65584948723806,9946.506305444387
3,2025-11-07 14:36:00,2025-11-07 14:43:00,3207.33,3206.2074345,3194.05,3190.1014285714286,3241.7871428571425,YES,TP,3206.2074345,3241.7871428571425,1.1097132385849817,0.02,0.05,0.06999999999999999,1.0397132385849817,103.41514283439525,10049.921448278783
4,2025-11-07 22:13:00,2025-11-07 22:33:00,3456.16,3454.950344,3447.11,3448.3707142857143,3471.738571428571,YES,STOP,3454.950344,3448.3707142857143,-0.19044064484782078,0.02,0.05,0.06999999999999999,-0.26044064484782076,-26.17408022659671,10023.747368052187
5,2025-11-08 13:06:00,2025-11-08 13:41:00,3394.56,3393.371904,3390.43,3388.249285714286,3407.181428571428,YES,TP,3393.371904,3407.181428571428,0.40695582335522357,0.02,0.05,0.06999999999999999,0.33695582335522356,33.7756004750678,10057.522968527255
6,2025-11-08 15:12:00,2025-11-08 15:21:00,3393.49,3392.3022785,3385.26,3387.520357142857,3405.429285714285,YES,STOP,3392.3022785,3387.520357142857,-0.1409638930896615,0.02,0.05,0.06999999999999999,-0.21096389308966151,-21.21774200279199,10036.305226524462
7,2025-11-08 19:18:00,2025-11-08 19:21:00,3392.45,3391.2626425,3378.42,3386.6964285714284,3403.957142857142,YES,STOP,3391.2626425,3386.6964285714284,-0.1346464255332714,0.02,0.05,0.06999999999999999,-0.2046464255332714,-20.538939901691208,10015.766286622771
8,2025-11-09 01:32:00,2025-11-09 01:39:00,3380.1,3378.916965,3380.04,3374.9625,3390.3749999999995,NO,SKIPPED,,,0.0,0.0,0.0,0.0,0.0,0.0,10015.766286622771
9,2025-11-09 03:24:00,2025-11-09 03:57:00,3362.48,3361.303132,3358.8,3354.772857142857,3377.894285714285,YES,TP,3361.303132,3377.894285714285,0.4935929031908913,0.02,0.05,0.06999999999999999,0.42359290319089127,42.426075190319914,10058.192361813091
10,2025-11-09 17:20:00,2025-11-09 18:44:00,3510.62,3509.391283,3504.89,3503.539642857143,3524.7807142857137,YES,TP,3509.391283,3524.7807142857137,0.4385213857532035,0.02,0.05,0.06999999999999999,0.3685213857532035,37.06658987347647,10095.258951686568
11,2025-11-10 14:03:00,2025-11-10 14:16:00,3604.29,3603.0284985000003,3595.04,3597.306071428572,3618.2578571428567,YES,STOP,3603.0284985000003,3597.306071428572,-0.15882269801114726,0.02,0.05,0.06999999999999999,-0.22882269801114724,-23.100243904461063,10072.158707782108
12,2025-11-11 04:11:00,2025-11-11 04:41:00,3588.93,3587.6738745,3576.04,3578.921071428571,3608.947857142857,YES,STOP,3587.6738745,3578.921071428571,-0.2439687490449139,0.02,0.05,0.06999999999999999,-0.3139687490449139,-31.62343069664185,10040.535277085466
13,2025-11-11 07:38:00,2025-11-11 09:04:00,3548.59,3547.3479935000005,3542.05,3539.472142857143,3566.825714285714,YES,TP,3547.3479935000005,3566.825714285714,0.5490783769002588,0.02,0.05,0.06999999999999999,0.47907837690025884,48.10203343755895,10088.637310523025
14,2025-11-11 09:44:00,2025-11-11 09:53:00,3565.79,3564.5419735,3552.67,3558.341785714286,3580.686428571428,YES,STOP,3564.5419735,3558.341785714286,-0.1739406586262269,0.02,0.05,0.06999999999999999,-0.24394065862622688,-24.61028830170113,10064.027022221324
15,2025-11-11 10:34:00,2025-11-11 11:04:00,3551.41,3550.1670065,3549.04,3543.9367857142856,3566.3564285714283,YES,TP,3550.1670065,3566.3564285714283,0.45601860537228933,0.02,0.05,0.06999999999999999,0.3860186053722893,38.849016755469094,10102.876038976792
