volume_threshold,min_zone_bars,sl_type,sl_value,rr_ratio,session,total_return,max_drawdown,return_dd_ratio,win_rate,num_trades,avg_trade
1.3,5,atr,2.0,4.0,all,22.050031343703193,-4.647864753108932,4.744120690894468,43.47826086956522,69,0.31956567164787236
2.0,3,atr,1.5,4.0,all,14.453159045530704,-3.0733751632248554,4.702699240389897,35.714285714285715,84,0.17206141720869886
1.3,3,fixed_pct,0.5,3.0,overnight,23.908800677906648,-5.102308369236456,4.685879203628871,46.616541353383454,133,0.17976541863087706
1.3,3,fixed_pct,0.5,4.0,overnight,23.693691505912835,-5.102308369236489,4.643720016761426,44.3609022556391,133,0.17814805643543485
1.3,3,atr,1.0,4.0,us,20.846475203478892,-4.4963668555237435,4.636293228135778,40.20618556701031,97,0.2149121154997824
2.0,3,atr,2.0,2.0,asia_eu,10.808475938983076,-2.353562880077218,4.592388854564388,59.61538461538461,52,0.2078553065189053
1.3,5,atr,1.5,4.0,overnight,7.881369462555495,-1.7175439746076728,4.588743915191914,37.5,32,0.2462927957048592
2.0,3,atr,2.0,4.0,asia_eu,12.35527104625504,-2.7388777357505294,4.5110706786877985,42.30769230769231,52,0.2376013662741354
1.3,3,fixed_pct,1.0,3.0,us,30.597463961842603,-6.818175337837454,4.487632313009321,49.48453608247423,97,0.31543777280250107
1.3,5,atr,1.5,4.0,us,13.312376007467657,-2.9963941567655765,4.442798681011162,47.05882352941176,17,0.7830809416157445
1.5,3,fixed_pct,1.0,4.0,us,25.677601246727466,-5.7988860365502815,4.42802308665526,50.81967213114754,61,0.42094428273323714
1.3,7,atr,2.0,2.0,overnight,3.910602094783676,-0.8835301278068132,4.426110634722738,60.0,10,0.3910602094783676
1.3,3,fixed_pct,0.5,4.0,us,24.54050970888928,-5.601791664005813,4.380832273105367,42.2680412371134,97,0.2529949454524668
1.3,5,fixed_pct,0.5,3.0,overnight,6.235813836715403,-1.4278852472694816,4.367167353707193,50.0,32,0.19486918239735634
1.5,3,fixed_pct,1.0,4.0,all,48.61358971796613,-11.150815689834777,4.359644269098886,47.98206278026906,223,0.2179981601702517
1.5,3,atr,1.5,3.0,us,13.804793893249055,-3.1671283611444374,4.358773096351773,47.540983606557376,61,0.22630809661064025
1.3,3,atr,1.0,3.0,us,17.01259826356841,-3.9364092920609455,4.321857053299785,47.42268041237113,97,0.1753876109646228
1.3,7,atr,1.5,3.0,all,6.868746465696541,-1.6021261913938638,4.2872693191044275,55.55555555555556,18,0.38159702587203004
1.5,5,atr,2.0,3.0,all,11.187857149072824,-2.651420132882816,4.21957162138185,51.724137931034484,29,0.38578817755423533
1.5,3,atr,2.0,4.0,overnight,18.201655305165044,-4.360632816696342,4.174085750919701,43.529411764705884,85,0.2141371212372358
1.5,5,atr,2.0,3.0,overnight,4.885452256984368,-1.1808087808438834,4.137377987224064,53.84615384615385,13,0.3758040197680283
2.0,3,atr,1.0,3.0,all,7.622350041331482,-1.8482781005308078,4.124027676972646,47.61904761904761,84,0.09074226239680336
1.3,3,fixed_pct,0.5,2.0,overnight,14.449673415580534,-3.57740522928892,4.039149184799703,50.37593984962406,133,0.10864416101940251
1.3,5,atr,1.0,4.0,asia_eu,7.964861777241786,-1.978739915026289,4.025219139088305,33.33333333333333,36,0.2212461604789385
1.3,5,atr,2.0,3.0,us,15.064209761570366,-3.78515885189489,3.9798091311356893,58.82352941176471,17,0.8861299859747274
1.5,3,atr,1.5,2.0,us,11.50577933542217,-2.907247849237985,3.957619003291355,59.01639344262295,61,0.18861933336757655
1.3,3,fixed_pct,1.0,2.0,us,26.976660848408716,-6.818175337837476,3.9565806849673826,51.546391752577314,97,0.2781099056536981
1.3,5,fixed_pct,0.5,4.0,all,13.874658398793253,-3.5201456268823157,3.94150125291311,47.82608695652174,69,0.20108200577961236
1.3,5,fixed_pct,1.0,2.0,all,16.923062345339957,-4.327930935900005,3.9101969499937876,57.971014492753625,69,0.24526177312086894
2.0,3,atr,1.0,4.0,asia_eu,7.888442286143245,-2.01914006466434,3.906832628500496,44.230769230769226,52,0.1517008131950624
1.5,3,atr,2.0,3.0,overnight,17.02783223255396,-4.367938543560756,3.89836808891382,47.05882352941176,85,0.20032743803004657
1.5,3,atr,2.0,3.0,us,14.940466102488818,-3.84918617725978,3.881461019151034,45.90163934426229,61,0.2449256738112921
1.5,3,fixed_pct,1.0,3.0,all,43.25436131124152,-11.150815689834745,3.879031141252999,48.4304932735426,223,0.1939657457903207
1.3,7,fixed_pct,0.5,3.0,all,4.991014193060016,-1.289336390842078,3.870994589550316,61.111111111111114,18,0.27727856628111197
2.0,3,atr,1.0,3.0,asia_eu,5.17091426176935,-1.3420059936727624,3.8531230755667076,50.0,52,0.0994406588801798
1.3,5,atr,1.0,4.0,us,8.991823398983046,-2.341407399826976,3.840349782633948,41.17647058823529,17,0.5289307881754732
1.5,3,atr,2.0,2.0,overnight,10.28448447973302,-2.6789665604536097,3.8389745626356846,56.470588235294116,85,0.1209939350556826
1.5,3,atr,1.5,3.0,asia_eu,14.801116048989993,-3.864213099532812,3.830305334552969,44.274809160305345,131,0.1129856186945801
1.3,3,atr,1.0,2.0,asia_eu,10.215066760703126,-2.6838504086296333,3.806123742164494,60.0,195,0.05238495774719552
1.3,5,atr,1.5,3.0,us,11.392774992559506,-2.9963941567655636,3.802161663823746,47.05882352941176,17,0.6701632348564415
1.3,3,fixed_pct,0.5,3.0,asia_eu,23.08919976163424,-6.072997790590941,3.801944370440404,43.58974358974359,195,0.11840615262376533
1.5,5,atr,1.5,3.0,all,7.213733952806403,-1.8998102961783752,3.7970811966423295,48.275862068965516,29,0.24874944664849666
1.3,7,atr,1.0,4.0,all,6.101966754141732,-1.6266060230660646,3.7513489238407307,44.44444444444444,18,0.338998153007874
1.5,3,atr,1.5,4.0,overnight,12.535468064303013,-3.3428526438479294,3.7499313908953944,40.0,85,0.14747609487415309
1.5,3,atr,2.0,2.0,asia_eu,14.79279870377903,-3.9616341145143017,3.734014367854522,53.43511450381679,131,0.11292212750976358
2.0,3,atr,1.5,3.0,asia_eu,10.100796671058342,-2.7231313285652297,3.7092580020296984,48.07692307692308,52,0.19424608982804503
1.3,7,fixed_pct,1.0,2.0,all,9.13202541986044,-2.469486994792783,3.697944325730987,72.22222222222221,18,0.5073347455478022
1.5,3,atr,2.0,3.0,asia_eu,16.216941720097623,-4.4092796756517805,3.6779117935403884,40.458015267175576,131,0.12379344824502002
1.5,3,atr,1.0,3.0,overnight,6.67724918135011,-1.8156399959650775,3.6776283823825513,52.94117647058824,85,0.07855587272176599
1.3,3,fixed_pct,0.5,2.0,asia_eu,17.288507430059177,-4.711056761765015,3.6697726867510663,49.23076923076923,195,0.08865901246184194
1.5,3,fixed_pct,1.0,3.0,us,21.18451006891648,-5.798886036550302,3.653203379992432,50.81967213114754,61,0.34728705031010626
1.5,3,atr,1.0,3.0,asia_eu,8.009826679583297,-2.206762206575223,3.6296736710993973,48.091603053435115,131,0.061143715111322876
1.3,3,atr,2.0,3.0,us,21.017954642390553,-5.80511192338919,3.620594214162829,40.20618556701031,97,0.2166799447669129
1.5,3,fixed_pct,0.5,3.0,us,14.029600100354717,-3.8820281501870455,3.6139872143067113,45.90163934426229,61,0.2299934442681101
1.3,5,atr,1.5,3.0,asia_eu,9.953862021266415,-2.766798610034182,3.5976098821097215,41.66666666666667,36,0.27649616725740045
1.3,7,fixed_pct,0.5,3.0,overnight,2.1551040952656706,-0.6000000000000097,3.5918401587760593,60.0,10,0.21551040952656705
1.5,3,atr,1.5,2.0,overnight,7.061511939741462,-1.9695398326004434,3.585361322912638,56.470588235294116,85,0.0830766110557819
1.5,5,atr,1.0,3.0,all,5.205484487597502,-1.4670429382845174,3.548283660793542,44.827586206896555,29,0.17949946508956904
1.3,5,atr,1.0,2.0,all,9.001942395947804,-2.5530423481379736,3.5259667363188263,55.072463768115945,69,0.13046293327460584
2.0,3,atr,1.5,2.0,all,10.07039988323175,-2.867555114423402,3.5118417890484626,57.14285714285714,84,0.11988571289561606
1.3,7,atr,2.0,2.0,all,7.388926322508511,-2.1062677137480486,3.5080660802420547,61.111111111111114,18,0.4104959068060284
1.3,3,fixed_pct,1.0,2.0,overnight,28.298157275050016,-8.238592421153172,3.434829134451716,53.383458646616546,133,0.21276809981240613
1.5,5,atr,2.0,2.0,all,8.670783691017924,-2.55242456413424,3.397077356509056,58.620689655172406,29,0.29899254106958356
1.3,7,atr,1.0,3.0,all,4.742070989784904,-1.3974329995513446,3.3934156351734774,50.0,18,0.26344838832138356
1.3,5,fixed_pct,0.5,2.0,us,7.153584056573423,-2.1309336757960615,3.357018633581371,70.58823529411765,17,0.4207990621513778
1.3,7,atr,2.0,4.0,all,11.022339114315416,-3.3494094527213947,3.290830598617845,55.55555555555556,18,0.6123521730175231
1.5,3,fixed_pct,1.0,2.0,all,32.91899010198252,-10.162604337547766,3.239227761761496,49.327354260089685,223,0.1476187896949889
1.3,3,atr,1.0,2.0,overnight,7.791533260328205,-2.409787668951814,3.233286218829931,60.902255639097746,133,0.058582956844572966
1.3,3,atr,1.0,2.0,us,9.560194097102254,-3.0315921355427955,3.153522528646663,55.670103092783506,97,0.098558702031982
1.3,3,atr,1.0,2.0,all,19.230331928916243,-6.107684593125339,3.1485469879308168,57.86350148367953,337,0.05706329949233307
1.5,3,fixed_pct,1.0,2.0,us,18.254239743507114,-5.798886036550288,3.1478873060189367,52.459016393442624,61,0.29924983186077236
1.3,5,fixed_pct,1.0,4.0,all,22.54560860862874,-7.203934657398942,3.1296242513072814,55.072463768115945,69,0.3267479508496919
1.3,3,atr,1.5,4.0,us,19.54485735902973,-6.256272322169178,3.1240419778039854,34.02061855670103,97,0.20149337483535804
1.5,3,fixed_pct,0.5,3.0,all,21.041801588800638,-6.800238365795476,3.0942741205424227,41.70403587443946,223,0.09435785465829882
1.5,3,atr,1.0,4.0,overnight,7.46382532427362,-2.449448976600304,3.0471446417442776,44.70588235294118,85,0.08780970969733672
2.0,3,atr,1.5,4.0,asia_eu,8.261910938451935,-2.7231313285652585,3.033974473351935,34.61538461538461,52,0.1588829026625372
1.3,3,fixed_pct,1.0,4.0,overnight,28.67544551461669,-9.5324697294869,3.0081863702031595,51.8796992481203,133,0.21560485349335856
1.3,3,fixed_pct,1.0,3.0,overnight,28.542354768054665,-9.532469729486865,2.994224537610056,51.8796992481203,133,0.21460417118838093
2.0,3,atr,1.5,2.0,asia_eu,5.886916731747668,-1.9661749441487268,2.9940960997732895,57.692307692307686,52,0.11320993714899362
1.3,7,fixed_pct,1.0,3.0,overnight,4.531520218487941,-1.523601119074968,2.9742169139644545,70.0,10,0.4531520218487941
1.3,3,atr,2.0,2.0,us,19.929577850212464,-6.740321699317409,2.956769534046235,51.546391752577314,97,0.20545956546610789
1.3,5,atr,2.0,2.0,us,11.051949754782454,-3.7851588518948516,2.919811344046986,58.82352941176471,17,0.6501146914577914
1.3,7,atr,1.5,2.0,all,4.614068968875247,-1.6021261913938367,2.8799660062114363,61.111111111111114,18,0.25633716493751374
1.3,7,atr,1.5,3.0,overnight,2.046997106209453,-0.7136074570115285,2.8685197808637573,50.0,10,0.2046997106209453
1.5,3,atr,1.5,4.0,asia_eu,13.70445103877023,-4.7981402964410345,2.85620056773566,32.82442748091603,131,0.10461413006694832
1.5,5,atr,2.0,4.0,all,9.00014635047711,-3.1585935606226294,2.849415785139187,51.724137931034484,29,0.3103498741543831
1.5,5,atr,1.5,2.0,all,4.843654386241758,-1.7188004634465996,2.8180434490511423,55.172413793103445,29,0.16702256504281923
1.5,5,atr,1.5,4.0,all,7.4779186377284494,-2.672414746107412,2.7981879117456008,41.37931034482759,29,0.2578592633699465
1.3,7,atr,2.0,4.0,overnight,3.6084609233231273,-1.2991334159557448,2.777590722403564,50.0,10,0.36084609233231274
1.3,7,atr,1.0,3.0,overnight,1.9880961144774507,-0.7171079896672357,2.7723803710512276,50.0,10,0.19880961144774506
1.3,5,atr,1.5,4.0,asia_eu,7.143025626483389,-2.6160116211316824,2.7305022534239844,33.33333333333333,36,0.19841737851342747
1.3,5,atr,1.0,3.0,us,6.62698103531991,-2.4414972616111683,2.7143102470435294,47.05882352941176,17,0.38982241384234767
1.3,3,fixed_pct,0.5,3.0,us,16.275456380028785,-6.044677897620716,2.692526658274889,43.29896907216495,97,0.16778821010338954
1.3,5,atr,2.0,4.0,us,12.900457580384678,-4.81015915312882,2.68191907371577,52.94117647058824,17,0.7588504459049811
1.3,3,atr,1.5,2.0,us,15.964598607495274,-5.960001385065649,2.678623304937273,54.63917525773196,97,0.16458349079892035
1.5,3,atr,2.0,4.0,us,14.66325575184073,-5.490213849865599,2.6707986524422336,39.34426229508197,61,0.24038124183345458
1.3,5,atr,1.0,2.0,asia_eu,4.118656563178224,-1.5475309846484364,2.661437220989723,52.77777777777778,36,0.11440712675495066
1.3,5,atr,2.0,4.0,overnight,6.686762208827865,-2.531331591355488,2.6415986872929635,37.5,32,0.20896131902587078
1.5,5,fixed_pct,1.0,4.0,all,12.452060539582071,-4.773962337740873,2.6083281891734855,65.51724137931035,29,0.4293813979166231
1.5,5,fixed_pct,1.0,3.0,all,12.387369218619693,-4.77396233774086,2.5947773237946525,65.51724137931035,29,0.42715066271102387
1.3,5,atr,1.0,3.0,asia_eu,5.347862094460698,-2.080131721719637,2.5709247345353883,38.88888888888889,36,0.1485517248461305
1.3,3,atr,1.5,3.0,us,16.732005773834743,-6.699922266592928,2.497343268781441,41.23711340206185,97,0.17249490488489425
1.5,3,fixed_pct,0.5,2.0,all,16.45332427906964,-6.710409719993791,2.4519105338749516,47.08520179372198,223,0.07378172322452754
1.5,3,atr,1.0,2.0,all,10.343216859563777,-4.236381746802159,2.4415214392261446,58.29596412556054,223,0.046382138383694066
1.5,5,atr,2.0,2.0,overnight,2.8662347972591924,-1.180808780843901,2.4273488169784363,61.53846153846154,13,0.22047959978916865
1.5,3,atr,1.0,2.0,overnight,3.4137876402666576,-1.414729100640402,2.4130327415484327,62.35294117647059,85,0.04016220753254891
1.3,7,fixed_pct,1.0,4.0,overnight,3.6425980603091137,-1.5236011190749452,2.3907819538231356,70.0,10,0.36425980603091135
1.5,3,atr,1.5,3.0,overnight,8.413508337190763,-3.5574512306781276,2.3650382792702302,47.05882352941176,85,0.09898245102577367
2.0,3,fixed_pct,1.0,4.0,all,15.340683467078511,-6.515827965499893,2.3543720841471876,46.42857142857143,84,0.18262718413188703
1.3,5,atr,1.5,2.0,us,6.940133914557737,-2.9963941567655454,2.3161618770640167,52.94117647058824,17,0.4082431714445728
1.3,3,atr,2.0,4.0,us,18.708694059681285,-8.129508827451625,2.3013314158053433,35.051546391752574,97,0.19287313463588954
2.0,3,fixed_pct,0.5,4.0,all,8.876624156683404,-3.9957658545713377,2.2215075857180526,41.66666666666667,84,0.10567409710337386
1.5,5,atr,1.5,4.0,overnight,2.0599439531475285,-0.9360342130149093,2.2007143804205342,46.15384615384615,13,0.1584572271651945
1.5,5,atr,1.0,4.0,overnight,1.4885041633144034,-0.6909578935979304,2.154261753293706,46.15384615384615,13,0.1145003202549541
1.3,5,atr,1.5,2.0,asia_eu,6.261148889265199,-2.917585598936737,2.146003493966712,50.0,36,0.17392080247958885
2.0,3,atr,1.0,2.0,asia_eu,2.8172240545357843,-1.3178600701887913,2.137726241399969,61.53846153846154,52,0.054177385664149695
1.5,5,atr,2.0,4.0,overnight,3.091382261623593,-1.4560304749978084,2.1231576637351948,53.84615384615385,13,0.23779863550950714
1.3,5,fixed_pct,0.5,2.0,all,5.74187440734927,-2.713590572262856,2.11596932346398,52.17391304347826,69,0.08321557112100392
1.5,5,atr,1.0,2.0,all,2.4300905041243417,-1.1705084468588285,2.076098220944686,51.724137931034484,29,0.08379622428014971
1.5,3,fixed_pct,0.5,4.0,overnight,8.811702171694337,-4.5294852809219925,1.9454091635552648,41.17647058823529,85,0.10366708437287456
1.3,7,atr,1.0,4.0,overnight,1.7602440897196203,-0.9049730479965558,1.9450790204376558,40.0,10,0.17602440897196203
2.0,3,fixed_pct,1.0,3.0,all,14.033358881598241,-7.360979615022753,1.9064526211916244,47.61904761904761,84,0.16706379620950287
