session,avg_return,volatility_atr,volatility_std,avg_volume,volume_vs_24h,long_win_rate,short_win_rate,avg_range,total_candles,best_hour,best_hour_return,worst_hour,worst_hour_return
Asia,-0.00039640266550890934,0.10969892029488272,0.11448093276115705,711.2779583333335,0.7807409803297278,45.19444444444444,44.65972222222222,0.1100450402684201,14400,2,0.0031480144967942487,3,-0.003189053906550448
Europe,-0.0011368403780492007,0.10535655841855045,0.1001807910640918,746.2950194444444,0.8191777887530003,44.407407407407405,46.00925925925926,0.10581498574262033,10800,12,0.0005091487305708352,11,-0.0020752901128441603
US,-7.445872287418794e-05,0.1478696237075281,0.13183322495815072,1336.5296214886525,1.4670543838668375,46.07205205522933,45.94508808125694,0.1479112475716879,12602,19,0.0031394439569640354,20,-0.001943583011330451
Overnight,-0.0012258304516139333,0.10250903982260623,0.09718827377716877,780.1769370370371,0.8563685961536353,44.68518518518518,44.388888888888886,0.10189649740531653,5400,22,0.0003822604881505576,23,-0.0034649091452148653
