direction,entry,exit,pnl,bars,exit_reason,zone_bars,cumulative_pnl,equity,running_max,drawdown,drawdown_pct
LONG,3103.47,3126.46,0.006407837034029807,90,TIME,7,0.6407837034029807,100.64078370340297,100.64078370340297,0.0,0.0
LONG,3050.09,3111.0918,0.019000000000000017,78,TP,8,2.5407837034029823,102.54078370340298,102.54078370340298,0.0,0.0
LONG,2966.42,3025.7484000000004,0.019000000000000017,38,TP,5,4.440783703402984,104.44078370340299,104.44078370340299,0.0,0.0
LONG,2919.98,2905.3801,-0.0060000000000000045,75,SL,5,3.840783703402983,103.84078370340298,104.44078370340299,-0.6000000000000085,-0.5744882207164621
LONG,2927.73,2913.09135,-0.0060000000000000045,2,SL,7,3.2407837034029825,103.24078370340298,104.44078370340299,-1.2000000000000028,-1.1489764414329104
SHORT,3206.04,3222.0701999999997,-0.005975124378109319,25,SL,6,2.6432712655920505,102.64327126559205,104.44078370340299,-1.797512437810937,-1.7210828701895011
SHORT,2981.77,2996.67885,-0.00597512437810943,19,SL,6,2.0457588277811074,102.04575882778111,104.44078370340299,-2.3950248756218713,-2.2931892989460922
SHORT,2879.4,2893.7969999999996,-0.005975124378109319,22,SL,5,1.4482463899701754,101.44824638997018,104.44078370340299,-2.9925373134328055,-2.8652957277026827
SHORT,2764.14,2777.9606999999996,-0.005975124378109319,35,SL,5,0.8507339521592435,100.85073395215925,104.44078370340299,-3.5900497512437397,-3.4374021564592736
SHORT,2837.46,2823.94,0.0037876371311004195,90,TIME,7,1.2294976652692855,101.22949766526929,104.44078370340299,-3.211286038133693,-3.07474333709836
SHORT,3039.36,3054.5568,-0.005975124378109319,66,SL,5,0.6319852274583536,100.63198522745836,104.44078370340299,-3.808798475944627,-3.646849765854951
SHORT,3041.89,3057.0994499999997,-0.00597512437810943,20,SL,5,0.03447278964741063,100.03447278964741,104.44078370340299,-4.406310913755576,-4.218956194611555
SHORT,2997.96,3005.78,-0.003601654146344723,90,TIME,5,-0.32569262498706164,99.67430737501294,104.44078370340299,-4.766476328390041,-4.5638075083064855
SHORT,3039.02,3034.9,0.0003575406108932153,90,TIME,5,-0.2899385638977401,99.71006143610227,104.44078370340299,-4.73072226730072,-4.529573696742166
SHORT,3063.18,3078.4958999999994,-0.005975124378109319,69,SL,5,-0.887451001708672,99.11254899829133,104.44078370340299,-5.3282347051116545,-5.101680125498756
SHORT,3154.28,3170.0514,-0.005975124378109319,34,SL,5,-1.4849634395196039,98.5150365604804,104.44078370340299,-5.925747142922589,-5.673786554255347
SHORT,3189.41,3205.3570499999996,-0.00597512437810943,11,SL,5,-2.082475877330547,97.91752412266945,104.44078370340299,-6.523259580733537,-6.245892983011951
SHORT,3220.06,3219.6,-0.000857125108709166,90,TIME,5,-2.1681883882014636,97.83181161179854,104.44078370340299,-6.608972091604443,-6.327961029450896
SHORT,3175.86,3191.7392999999997,-0.005975124378109319,51,SL,5,-2.7657008260123956,97.23429917398761,104.44078370340299,-7.206484529415377,-6.900067458207486
