entry_idx,exit_idx,entry_price,exit_price,pnl_pct,result,bars_held
101,115,0.09089,0.09237000000000001,1.62834195180989,TP,14
201,203,0.09801,0.09756357142857143,-0.4554928797353024,SL,2
576,577,0.09937,0.09906571428571428,-0.30621486795382435,SL,1
579,580,0.09993,0.09958428571428572,-0.34595645523294555,SL,1
2963,2965,0.09638,0.09834285714285713,2.0365813891441595,TP,2
2985,2987,0.0993,0.10180285714285715,2.520500647388876,TP,2
3179,3185,0.10218,0.10360000000000001,1.389704443139562,TP,6
4958,4963,0.09956,0.09927571428571427,-0.285542099523627,SL,5
7248,7251,0.09753,0.09958142857142858,2.1033821095340706,TP,3
7537,7543,0.09347,0.09307928571428571,-0.41801036237753925,SL,6
8651,8662,0.09197,0.09149214285714286,-0.5195793659423084,SL,11
9616,9624,0.08503,0.08460999999999999,-0.49394331412443104,SL,8
13171,13181,0.07908,0.07867928571428572,-0.5067201387383434,SL,10
13555,13583,0.07941,0.07911857142857143,-0.3669922823681747,SL,28
14396,14399,0.08018,0.07970642857142857,-0.5906353561629263,SL,3
15111,15114,0.07772,0.07739857142857143,-0.41357253143151024,SL,3
18612,18615,0.08305,0.08440428571428571,1.6306871936010965,TP,3
20037,20097,0.06828,0.06898,1.0251903925014736,TIME,60
20303,20313,0.07146,0.07109428571428571,-0.5117748190796091,SL,10
22501,22511,0.07291,0.07264000000000001,-0.3703195720751508,SL,10
26032,26042,0.07986,0.08137714285714286,1.899753139422559,TP,10
30068,30069,0.08063,0.08038714285714285,-0.3011994826455933,SL,1
30117,30120,0.08154,0.08262571428571427,1.3315112652860843,TP,3
30157,30160,0.08421,0.08357142857142856,-0.7583083108555193,SL,3
30162,30164,0.08421,0.08337857142857143,-0.9873275993689186,SL,2
30210,30212,0.08563,0.08515428571428571,-0.5555462871823983,SL,2
30215,30218,0.08512,0.08705714285714287,2.275778732545669,TP,3
30226,30229,0.0883,0.08742,-0.9966024915062353,SL,3
30260,30263,0.0921,0.09115214285714286,-1.0291608500077514,SL,3
30271,30295,0.09185,0.09059928571428572,-1.3616922000155531,SL,24
30329,30333,0.08802,0.08732,-0.7952738014087777,SL,4
34890,34893,0.0719,0.07163714285714286,-0.36558712497517104,SL,3
36027,36035,0.07502,0.07623428571428573,1.6186159881174662,TP,8
36084,36085,0.0779,0.07931714285714285,1.8191821015954468,TP,1
36100,36102,0.08226,0.08124928571428572,-1.2286825744156107,SL,2
36140,36143,0.08202,0.08154714285714285,-0.5765144389870153,SL,3
36149,36155,0.08211,0.08154214285714287,-0.6915809802181632,SL,6
42140,42141,0.077,0.0789142857142857,2.486085343228184,TP,1
42182,42196,0.0814,0.08687428571428571,6.725166725166718,TP,14
42200,42206,0.08741,0.08599,-1.624528086031352,SL,6
42208,42227,0.08746,0.08560999999999999,-2.1152526869426076,SL,19
42270,42284,0.08886,0.09223142857142856,3.794090222179346,TP,14
42324,42328,0.10594,0.10257928571428572,-3.1722808058469756,SL,4
42330,42359,0.10322,0.1155257142857143,11.92183131729732,TP,29
42370,42381,0.11817,0.11453428571428571,-3.076681294503075,SL,11
42486,42490,0.11214,0.11059428571428571,-1.3783790669826013,SL,4
42586,42600,0.10623,0.10538857142857143,-0.7920818708731773,SL,14
42640,42647,0.10851,0.11160999999999999,2.8568795502718567,TP,7
42947,42952,0.10476,0.10403357142857143,-0.6934216985763386,SL,5
43012,43014,0.1048,0.10391357142857142,-0.8458287895310874,SL,2
43151,43152,0.09171,0.09110857142857143,-0.6557938844494299,SL,1
43228,43230,0.09363,0.09295,-0.7262629499092171,SL,2
43231,43235,0.09386,0.09310357142857142,-0.8059115399835655,SL,4
43277,43280,0.08916,0.08846642857142857,-0.7778952765493856,SL,3
43285,43291,0.09047,0.09351,3.3602299104675595,TP,6
43334,43336,0.09547,0.09468071428571428,-0.8267368956590705,SL,2
43357,43360,0.09753,0.09664428571428572,-0.9081454790467357,SL,3
43559,43570,0.09759,0.09704642857142856,-0.5569950082707603,SL,11
43572,43575,0.09875,0.09817857142857143,-0.5786618444846278,SL,3
43579,43580,0.09968,0.09908142857142858,-0.6004930061912325,SL,1
43775,43778,0.09067,0.089695,-1.0753281129370285,SL,3
43929,43941,0.09481,0.09695285714285715,2.2601594165775136,TP,12
44668,44670,0.09694,0.09640785714285714,-0.5489404344366164,SL,2
45493,45494,0.09284,0.09252428571428573,-0.3400627808210688,SL,1
