entry_time,exit_time,entry,exit,stop,target,result,pnl_pct
2025-11-07 18:19:00,2025-11-07 18:40:00,3418.49,3431.6914285714283,3431.6914285714283,3392.0871428571427,STOP,-0.3861771885080416
2025-11-08 02:12:00,2025-11-08 02:19:00,3449.53,3456.2442857142855,3456.2442857142855,3436.101428571429,STOP,-0.19464349387555185
2025-11-08 09:20:00,2025-11-08 09:31:00,3459.82,3464.2285714285717,3464.2285714285717,3451.0028571428575,STOP,-0.12742198809682517
2025-11-09 08:59:00,2025-11-09 09:07:00,3421.21,3424.2114285714283,3424.2114285714283,3415.207142857143,STOP,-0.08773003035266114
2025-11-09 11:04:00,2025-11-09 11:15:00,3418.87,3424.2799999999997,3424.2799999999997,3408.05,STOP,-0.1582394182873246
2025-11-09 12:15:00,2025-11-09 12:18:00,3436.05,3442.134285714286,3442.134285714286,3423.881428571429,STOP,-0.17707209482649175
2025-11-09 14:26:00,2025-11-09 14:28:00,3532.41,3549.1071428571427,3549.1071428571427,3499.0157142857142,STOP,-0.47268416908407596
2025-11-10 19:39:00,2025-11-10 19:41:00,3556.07,3563.217142857143,3563.217142857143,3541.7757142857145,STOP,-0.20098431293935795
2025-11-10 22:48:00,2025-11-11 00:37:00,3573.53,3557.8928571428573,3581.3485714285716,3557.8928571428573,TP,0.43758252644144197
2025-11-11 01:16:00,2025-11-11 01:17:00,3605.7,3614.2142857142853,3614.2142857142853,3588.6714285714284,STOP,-0.23613405758342365
2025-11-11 08:11:00,2025-11-11 09:04:00,3560.8,3569.687142857143,3569.687142857143,3543.025714285715,STOP,-0.24958275828866722
2025-11-12 10:23:00,2025-11-12 10:25:00,3507.66,3514.0642857142857,3514.0642857142857,3494.8514285714286,STOP,-0.1825800024599258
2025-11-12 11:02:00,2025-11-12 11:07:00,3546.39,3553.7771428571427,3553.7771428571427,3531.6157142857146,STOP,-0.20830035210856285
2025-11-12 12:20:00,2025-11-12 12:30:00,3562.05,3546.4557142857147,3569.847142857143,3546.4557142857147,TP,0.43778963558303313
2025-11-12 17:37:00,2025-11-12 17:38:00,3419.09,3428.6114285714284,3428.6114285714284,3400.047142857143,STOP,-0.27847844225885426
2025-11-12 17:39:00,2025-11-12 17:50:00,3447.98,3423.5600000000004,3460.1899999999996,3423.5600000000004,TP,0.7082407670578025
2025-11-12 19:43:00,2025-11-12 22:14:00,3425.42,3394.837142857143,3440.7114285714283,3394.837142857143,TP,0.8928206509816881
2025-11-13 04:17:00,2025-11-13 05:36:00,3487.63,3506.764285714286,3506.764285714286,3449.3614285714284,STOP,-0.5486329029824222
2025-11-14 13:51:00,2025-11-14 14:05:00,3119.65,3137.482857142857,3137.482857142857,3083.984285714286,STOP,-0.5716300592328286
2025-11-15 02:41:00,2025-11-15 02:45:00,3184.43,3191.9442857142853,3191.9442857142853,3169.4014285714284,STOP,-0.2359695680007256
2025-11-16 09:51:00,2025-11-16 11:06:00,3243.13,3229.3328571428574,3250.0285714285715,3229.3328571428574,TP,0.4254267592462441
2025-11-16 19:10:00,2025-11-16 21:04:00,3109.33,3081.0614285714287,3123.4642857142853,3081.0614285714287,TP,0.9091531432357213
2025-11-17 01:27:00,2025-11-17 01:52:00,3144.6,3121.322857142857,3156.238571428571,3121.322857142857,TP,0.7402258747421846
2025-11-17 04:26:00,2025-11-17 06:12:00,3188.89,3172.0299999999997,3197.3199999999997,3172.0299999999997,TP,0.528710617174005
2025-11-17 14:36:00,2025-11-17 14:55:00,3189.33,3146.7100000000005,3210.64,3146.7100000000005,TP,1.3363308281049449
2025-11-18 08:04:00,2025-11-18 08:33:00,3038.44,3046.23,3046.23,3022.86,STOP,-0.2563815642237452
2025-11-18 14:25:00,2025-11-18 14:32:00,3061.71,3070.862857142857,3070.862857142857,3043.404285714286,STOP,-0.298945920510339
2025-11-19 01:21:00,2025-11-19 02:15:00,3113.48,3123.4085714285716,3123.4085714285716,3093.6228571428574,STOP,-0.3188898412249816
2025-11-19 06:32:00,2025-11-19 07:05:00,3042.3,3049.694285714286,3049.694285714286,3027.511428571429,STOP,-0.24304919680128897
2025-11-19 07:33:00,2025-11-19 07:39:00,3062.33,3069.205714285714,3069.205714285714,3048.5785714285716,STOP,-0.22452558299444905
2025-11-19 08:26:00,2025-11-19 08:28:00,3092.07,3099.4157142857143,3099.4157142857143,3077.378571428572,STOP,-0.2375662351018627
2025-11-19 21:20:00,2025-11-19 21:23:00,2978.93,2994.9342857142856,2994.9342857142856,2946.9214285714284,STOP,-0.5372494726054571
2025-11-20 01:53:00,2025-11-20 02:06:00,3049.52,3056.0942857142854,3056.0942857142854,3036.371428571429,STOP,-0.21558427930577442
2025-11-20 13:13:00,2025-11-20 13:20:00,3037.34,3022.314285714286,3044.852857142857,3022.314285714286,TP,0.4946997796003741
