name,trades,wr,return,dd,rr
EMA10/20_SL1.5_TP3.0,1311,28.604118993135014,-83.09377044855194,83.09377044855194,-1.0
EMA10/20_SL1.5_TP4.0,1178,23.93887945670628,-79.2339885956072,79.2339885956072,-1.0
EMA10/20_SL1.5_TP5.0,1051,20.076117982873456,-77.52397523003559,77.52397523003559,-1.0
EMA10/20_SL2.0_TP3.0,1064,36.37218045112782,-74.80570219299418,74.80570219299418,-1.0
EMA10/20_SL2.0_TP4.0,929,32.18514531754575,-64.2244408678476,64.2244408678476,-1.0
EMA10/20_SL2.0_TP5.0,808,26.980198019801982,-64.60595215246995,64.60595215246995,-1.0
EMA10/20_SL2.5_TP3.0,873,40.893470790378004,-70.45002114036436,70.45002114036436,-1.0
EMA10/20_SL2.5_TP4.0,738,36.31436314363143,-59.78735271615791,59.78735271615791,-1.0
EMA10/20_SL2.5_TP5.0,645,31.007751937984494,-57.66689912067148,57.66689912067148,-1.0
EMA10/50_SL1.5_TP3.0,980,31.020408163265305,-68.4399316418978,68.4399316418978,-1.0
EMA10/50_SL1.5_TP4.0,916,25.436681222707424,-65.63188444651445,65.63188444651445,-1.0
EMA10/50_SL1.5_TP5.0,824,20.509708737864077,-67.9437864051715,67.9437864051715,-1.0
EMA10/50_SL2.0_TP3.0,850,38.23529411764706,-64.55301218136722,64.55301218136722,-1.0
EMA10/50_SL2.0_TP4.0,758,31.6622691292876,-62.72001856515009,62.72001856515009,-1.0
EMA10/50_SL2.0_TP5.0,673,25.11144130757801,-66.88430194234677,66.88430194234677,-1.0
EMA10/50_SL2.5_TP3.0,726,43.52617079889807,-59.423060840276,59.423060840276,-1.0
EMA10/50_SL2.5_TP4.0,641,35.8814352574103,-59.108842447726694,59.108842447726694,-1.0
EMA10/50_SL2.5_TP5.0,557,28.725314183123878,-63.083722055148314,63.083722055148314,-1.0
EMA20/50_SL1.5_TP3.0,809,31.27317676143387,-60.309403443281084,60.309403443281084,-1.0
EMA20/50_SL1.5_TP4.0,782,23.785166240409207,-65.4033231822248,65.4033231822248,-1.0
EMA20/50_SL1.5_TP5.0,744,20.026881720430108,-64.38110698785822,64.38110698785822,-1.0
EMA20/50_SL2.0_TP3.0,727,39.47730398899587,-53.08244989722788,53.08244989722788,-1.0
EMA20/50_SL2.0_TP4.0,680,31.323529411764707,-59.12586295037309,59.12586295037309,-1.0
EMA20/50_SL2.0_TP5.0,625,25.919999999999998,-58.77675594655947,58.77675594655947,-1.0
EMA20/50_SL2.5_TP3.0,632,43.82911392405063,-51.244987920002586,51.244987920002586,-1.0
EMA20/50_SL2.5_TP4.0,560,35.714285714285715,-55.590499864721,55.590499864721,-1.0
EMA20/50_SL2.5_TP5.0,516,29.457364341085274,-56.552083264123794,56.552083264123794,-1.0
RSI25_SL1.5_TP3.0,2180,33.80733944954129,-88.55534696357691,88.55534696357691,-1.0
RSI25_SL1.5_TP4.0,1822,26.838638858397367,-85.7420862396284,85.7420862396284,-1.0
RSI25_SL1.5_TP5.0,1571,22.97899427116486,-80.33057073461377,80.33057073461377,-1.0
RSI25_SL2.0_TP3.0,1800,42.22222222222222,-80.06382567186428,80.06382567186428,-1.0
RSI25_SL2.0_TP4.0,1432,34.357541899441344,-75.8628451181877,75.8628451181877,-1.0
RSI25_SL2.0_TP5.0,1209,30.355665839536805,-64.88128191146491,64.88128191146491,-1.0
RSI25_SL2.5_TP3.0,1550,47.87096774193548,-75.40236491480793,75.40236491480793,-1.0
RSI25_SL2.5_TP4.0,1151,39.270199826238056,-70.49187650747432,70.49187650747432,-1.0
RSI25_SL2.5_TP5.0,978,35.58282208588957,-54.24404284211204,54.24404284211204,-1.0
RSI30_SL1.5_TP3.0,2679,34.07988055244494,-93.08891756493034,93.08891756493034,-1.0
RSI30_SL1.5_TP4.0,2148,27.23463687150838,-89.65427545483159,89.65427545483159,-1.0
RSI30_SL1.5_TP5.0,1717,23.121723937099592,-84.0142671710976,84.0142671710976,-1.0
RSI30_SL2.0_TP3.0,2106,43.20987654320987,-83.86333305119733,83.86333305119733,-1.0
RSI30_SL2.0_TP4.0,1604,35.28678304239401,-78.3891804818556,78.3891804818556,-1.0
RSI30_SL2.0_TP5.0,1259,30.659253375694995,-66.31649410950097,66.31649410950097,-1.0
RSI30_SL2.5_TP3.0,1745,48.080229226361034,-78.50349033001453,78.50349033001453,-1.0
RSI30_SL2.5_TP4.0,1264,40.427215189873415,-71.19357780246555,71.19357780246555,-1.0
RSI30_SL2.5_TP5.0,987,36.06889564336373,-52.27618086245162,52.27618086245162,-1.0
MACD_SL1.5_TP3.0,1847,31.67298321602599,-86.71206229472526,86.71206229472526,-1.0
MACD_SL1.5_TP4.0,1461,25.39356605065024,-80.50371318906222,80.50371318906222,-1.0
MACD_SL1.5_TP5.0,1240,22.258064516129032,-70.27727415993802,70.27727415993802,-1.0
MACD_SL1.5_TP6.0,1024,19.921875,-58.74955947289735,58.74955947289735,-1.0
MACD_SL2.0_TP3.0,1505,39.60132890365449,-77.40262076674821,77.40262076674821,-1.0
MACD_SL2.0_TP4.0,1109,34.17493237150586,-62.408778677522456,62.408778677522456,-1.0
MACD_SL2.0_TP5.0,880,29.88636363636364,-46.243752096694166,46.243752096694166,-1.0
MACD_SL2.0_TP6.0,686,27.113702623906704,-31.455865874513854,31.455865874513854,-1.0
MACD_SL2.5_TP3.0,1179,45.038167938931295,-69.09017725192601,69.09017725192601,-1.0
MACD_SL2.5_TP4.0,861,38.443670150987224,-55.05755745217892,55.05755745217892,-1.0
