limit_pct,max_wait,signals,fills,fill_rate,trades,return,max_dd,return_dd,win_rate,tp_rate,sl_rate
0.1,3,75,53,70.66666666666667,53,-1.6175684246439144,-11.312750761071774,-0.14298630446364272,20.754716981132077,7.547169811320755,75.47169811320755
0.1,5,72,52,72.22222222222221,52,-1.5119912586302038,-11.20717359505806,-0.13491280792660645,21.153846153846153,7.6923076923076925,73.07692307692307
0.2,3,78,50,64.1025641025641,50,-0.5196627839709547,-9.294132462429715,-0.05591299522269796,22.0,8.0,76.0
0.2,5,75,51,68.0,51,-2.444408198901498,-10.5731965332815,-0.2311891386116939,21.568627450980394,7.8431372549019605,74.50980392156863
0.3,3,80,43,53.75,43,3.3934361422491337,-5.9876564402593315,0.5667386190417699,23.25581395348837,9.30232558139535,74.4186046511628
0.3,5,75,48,64.0,48,-0.8891895616905243,-9.762942183124137,-0.0910780321149033,22.916666666666664,8.333333333333332,72.91666666666666
0.5,3,82,28,34.146341463414636,28,-5.512122157572803,-15.178847544689313,-0.3631449714047199,17.857142857142858,3.571428571428571,78.57142857142857
0.5,5,77,38,49.35064935064935,38,-5.871828864368543,-16.061817822446457,-0.3655768561988443,21.052631578947366,7.894736842105263,73.68421052631578
0.75,3,91,18,19.78021978021978,18,0.18744254548066897,-9.313878527001803,0.020125079464720905,22.22222222222222,5.555555555555555,72.22222222222221
0.75,5,87,27,31.03448275862069,27,-8.139800424965227,-16.77919427621382,-0.48511271107363035,18.51851851851852,3.7037037037037033,77.77777777777779
1.0,3,92,13,14.130434782608695,13,3.5884493996571996,-7.458207092762353,0.4811410242469036,30.76923076923077,7.6923076923076925,61.53846153846154
1.0,5,91,21,23.076923076923077,21,-1.9826280183771503,-10.728884194864975,-0.18479349598405298,23.809523809523807,4.761904761904762,71.42857142857143
1.25,3,95,10,10.526315789473683,10,0.09099668117716814,-9.263741348044634,0.009822886645726078,30.0,10.0,70.0
1.25,5,92,16,17.391304347826086,16,-1.215202185387247,-13.131715967169773,-0.09253948139187133,25.0,6.25,75.0
1.5,3,99,4,4.040404040404041,4,-1.4399641544901458,-5.544008668585215,-0.2597333879814464,25.0,25.0,75.0
1.5,5,93,9,9.67741935483871,9,6.599516953088034,-6.8343218227673095,0.9656432816937204,33.33333333333333,11.11111111111111,55.55555555555556
2.0,3,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,5,94,5,5.319148936170213,5,11.66630806938354,-0.6239485376136695,18.6975485414263,60.0,20.0,20.0
2.5,3,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2.5,5,95,3,3.1578947368421053,3,4.790476909340102,0.0,0.0,66.66666666666666,0.0,33.33333333333333
3.0,3,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,5,98,2,2.0408163265306123,2,0.9534483388569059,0.0,0.0,50.0,0.0,50.0
3.5,3,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,5,98,2,2.0408163265306123,2,0.2449617501573309,0.0,0.0,50.0,0.0,50.0
4.0,3,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5,98,2,2.0408163265306123,2,-0.3135073494489644,0.0,0.0,50.0,0.0,50.0
5.0,3,101,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,5,100,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
