sl_mult,tp_mult,strategy,trades,return,max_dd,win_rate,rr_ratio,avg_win,avg_loss
0.0,3.0,"Baseline (SL=3% fixed, TP=3x ATR)",235,942.2299395816838,-55.27026005417155,40.85106382978723,17.04768420952216,6.233014141528193,-3.0100000000000016
1.0,2.0,SL=1.0x TP=2.0x ATR,295,713.7312888468298,-50.51918764321298,38.64406779661017,14.127924896328302,4.622564400881731,-2.115024069567987
1.0,3.0,SL=1.0x TP=3.0x ATR,284,546.5798214124665,-54.146457919917054,32.04225352112676,10.09447048634024,6.2057595085757224,-2.1490967963492085
1.0,2.5,SL=1.0x TP=2.5x ATR,288,565.338728688631,-58.463157567975145,34.72222222222222,9.669999914584007,5.414069535796301,-2.124973548021323
1.5,2.0,SL=1.5x TP=2.0x ATR,262,475.86366685627644,-58.29808107089178,44.656488549618324,8.162595716960485,4.686197944077563,-2.8443744286293686
1.5,2.5,SL=1.5x TP=2.5x ATR,255,423.55042038386193,-61.37751467119716,40.78431372549019,6.900742440498701,5.479898681803489,-2.8573463174387945
1.5,3.0,SL=1.5x TP=3.0x ATR,248,371.1034960862793,-62.601404095930036,37.903225806451616,5.928037900197931,6.2324931016759875,-2.8918200719704505
1.5,3.5,SL=1.5x TP=3.5x ATR,237,331.80122741436423,-61.87878301525013,34.177215189873415,5.362116241565244,7.329744930791757,-2.8744391456248057
2.0,3.0,SL=2.0x TP=3.0x ATR,215,383.3723603353537,-74.58305265933416,45.58139534883721,5.140207415301795,6.2040166189929336,-3.9380374142075523
2.0,2.5,SL=2.0x TP=2.5x ATR,225,320.6262090986963,-72.57543430654158,48.0,4.417833832649854,5.448905517502192,-3.8892223681347122
1.0,3.5,SL=1.0x TP=3.5x ATR,270,278.8157017675643,-63.905153051704254,27.77777777777778,4.362961176886325,7.323828121066219,-2.1484453470780895
2.5,2.5,SL=2.5x TP=2.5x ATR,212,260.9734366969868,-65.27241999271767,51.886792452830186,3.9982191058046133,5.415127928557764,-4.54909673194879
2.5,3.0,SL=2.5x TP=3.0x ATR,203,290.3247338734049,-79.42453619864884,49.26108374384236,3.6553532166341296,6.167245681196505,-4.610481933324324
1.0,4.0,SL=1.0x TP=4.0x ATR,261,257.8011098823462,-74.8948132394918,25.287356321839084,3.4421757493135523,8.40003795553959,-2.1595486921782454
2.0,2.0,SL=2.0x TP=2.0x ATR,231,208.73589165367878,-70.19780640822046,51.082251082251084,2.973538666433812,4.652235778505826,-3.887692473347347
2.0,3.5,SL=2.0x TP=3.5x ATR,203,202.38447610737066,-74.94515398676472,40.88669950738916,2.700434455616859,7.257979614314885,-3.922746358733198
2.5,2.0,SL=2.5x TP=2.0x ATR,219,124.05730045200292,-61.59591490639041,54.337899543378995,2.0140507798372242,4.64042467618128,-4.536752041838582
1.5,4.0,SL=1.5x TP=4.0x ATR,215,142.85494770555016,-76.46322486157182,30.697674418604652,1.868283059786887,8.47797207887274,-2.9698520696912647
2.5,3.5,SL=2.5x TP=3.5x ATR,191,100.92607266735828,-80.03339887286194,43.97905759162304,1.2610494379688368,7.238443713811078,-4.596888779287547
2.0,4.0,SL=2.0x TP=4.0x ATR,187,54.357130026296964,-83.71768219079631,36.36363636363637,0.649290909683986,8.401366115911394,-3.977530949805502
2.5,4.0,SL=2.5x TP=4.0x ATR,175,24.13443749987474,-83.77601188600576,40.0,0.2880829124775542,8.319911652394165,-4.664601794075319
