sl_mult,tp_mult,rr_ratio,return,max_dd,return_dd,trades,win_rate,tp_rate,sl_rate
0.5,4,8.0,7.865906664894824,-5.544480876249068,1.4186912788517432,94,18.085106382978726,18.085106382978726,81.91489361702128
0.5,5,10.0,16.27918281164706,-5.001359168294727,3.2549517568836475,93,18.27956989247312,17.20430107526882,81.72043010752688
0.5,6,12.0,9.591181023948119,-8.775739807582578,1.092919939998787,89,14.606741573033707,13.48314606741573,85.39325842696628
0.5,7,14.0,13.760241495322706,-8.170549542424295,1.684126804919891,89,13.48314606741573,12.359550561797752,86.51685393258427
0.5,8,16.0,20.559346648254348,-7.558239447822131,2.720123752387657,88,13.636363636363635,12.5,86.36363636363636
0.5,10,20.0,23.11291426819237,-7.216516823039052,3.202779794596107,82,14.634146341463413,8.536585365853659,85.36585365853658
0.5,12,24.0,13.537967465954655,-9.963012605104076,1.3588226776928014,81,13.580246913580247,2.4691358024691357,86.41975308641975
0.5,15,30.0,17.08079858233444,-9.96301260510408,1.7144210550916998,81,13.580246913580247,2.4691358024691357,86.41975308641975
0.5,20,40.0,21.418212500578157,-9.96301260510408,2.14977269923412,81,13.580246913580247,1.2345679012345678,86.41975308641975
0.75,4,5.333333333333333,3.6755609381227305,-7.900993173466173,0.4652023938542727,93,20.43010752688172,20.43010752688172,79.56989247311827
0.75,5,6.666666666666667,10.864880732197655,-6.940915647989231,1.565338246884644,91,19.78021978021978,18.681318681318682,80.21978021978022
0.75,6,8.0,5.1231786524301715,-11.467110319439772,0.4467715500866015,87,16.091954022988507,14.942528735632186,83.9080459770115
0.75,7,9.333333333333334,10.338115643218234,-10.195088584033238,1.014029015835036,87,14.942528735632186,13.793103448275861,85.0574712643678
0.75,8,10.666666666666666,18.422143046099297,-9.961617329365511,1.8493124597140758,86,15.11627906976744,13.953488372093023,84.88372093023256
0.75,10,13.333333333333334,22.32102942676585,-9.961617329365511,2.2407033605844755,80,16.25,8.75,83.75
0.75,12,16.0,12.796850622835935,-15.09605483340298,0.847695027877111,79,15.18987341772152,2.5316455696202533,84.81012658227847
0.75,15,20.0,16.339681739215717,-15.09605483340298,1.0823809213425066,79,15.18987341772152,2.5316455696202533,84.81012658227847
0.75,20,26.666666666666668,20.677095657459436,-15.096054833402977,1.369701944358821,79,15.18987341772152,1.2658227848101267,84.81012658227847
1.0,4,4.0,-6.547902772392136,-11.484299926254412,-0.5701612474803873,89,21.34831460674157,21.34831460674157,78.65168539325843
1.0,5,5.0,0.8144927226537654,-8.944122707632793,0.09106457382999546,87,20.689655172413794,19.54022988505747,79.3103448275862
1.0,6,6.0,-4.008676247983198,-15.462411531947426,-0.25925297872849473,84,17.857142857142858,15.476190476190476,82.14285714285714
1.0,7,7.0,1.0592414476049785,-14.109561455660325,0.07507259888506622,84,16.666666666666664,14.285714285714285,83.33333333333334
1.0,8,8.0,9.210993555236929,-12.75266871231064,0.7222796861605292,83,16.867469879518072,14.457831325301203,83.13253012048193
1.0,10,10.0,17.659195815695075,-11.888071463947243,1.4854550520872813,78,19.230769230769234,10.256410256410255,80.76923076923077
1.0,12,12.0,8.865340095932943,-19.037148148149782,0.4656863531733646,77,18.181818181818183,3.896103896103896,81.81818181818183
1.0,15,15.0,13.427907280624463,-19.037148148149782,0.7053528803855802,77,18.181818181818183,3.896103896103896,81.81818181818183
1.0,20,20.0,17.837067335162306,-19.037148148149782,0.9369611034358573,77,18.181818181818183,1.2987012987012987,81.81818181818183
1.25,4,3.2,1.18869623222019,-8.29375643761273,0.14332422722584118,81,27.160493827160494,27.160493827160494,70.37037037037037
1.25,5,4.0,10.593657764063884,-7.01081405174937,1.511045320253574,79,26.582278481012654,25.31645569620253,70.88607594936708
1.25,6,4.8,2.2910667339474764,-9.41850460570026,0.2432516444872659,76,23.684210526315788,19.736842105263158,73.68421052631578
1.25,7,5.6,8.094786403890694,-7.6475105562252335,1.058486463585378,76,22.36842105263158,18.421052631578945,75.0
1.25,8,6.4,17.20051210051927,-7.010814051749369,2.4534258038447505,75,22.666666666666664,18.666666666666668,74.66666666666667
1.25,10,8.0,18.882151819397254,-8.616691814574015,2.1913458466114046,70,22.857142857142858,11.428571428571429,74.28571428571429
1.25,12,9.6,10.138527797706185,-15.87210536442247,0.6387638920563007,69,21.73913043478261,4.3478260869565215,75.36231884057972
1.25,15,12.0,14.70109498239771,-15.87210536442247,0.9262221138822834,69,21.73913043478261,4.3478260869565215,75.36231884057972
1.25,20,16.0,19.110255036935552,-15.87210536442247,1.2040151320927743,69,21.73913043478261,1.4492753623188406,75.36231884057972
1.5,4,2.6666666666666665,13.14572789655997,-8.830051412095218,1.488748738037157,77,35.064935064935064,35.064935064935064,62.33766233766234
1.5,5,3.3333333333333335,25.827452777250166,-7.313871068567957,3.5312972480805755,75,34.66666666666667,33.33333333333333,62.66666666666667
1.5,6,4.0,13.996244210034877,-8.188556994114325,1.7092442807804762,71,30.985915492957744,25.352112676056336,66.19718309859155
1.5,7,4.666666666666667,21.396808170532324,-7.313871068567957,2.9255107138116094,71,29.577464788732392,23.943661971830984,67.6056338028169
1.5,8,5.333333333333333,29.562046010857408,-8.25029204190024,3.583151464302415,69,28.985507246376812,23.18840579710145,68.11594202898551
1.5,10,6.666666666666667,39.11816480761887,-7.313871068567956,5.3484897998452325,64,31.25,17.1875,65.625
1.5,12,8.0,27.93462732758338,-14.42722699827198,1.9362436960983043,65,27.692307692307693,9.230769230769232,69.23076923076923
1.5,15,10.0,33.4020104639535,-14.427226998271978,2.3152065513320217,65,27.692307692307693,6.153846153846154,69.23076923076923
1.5,20,13.333333333333334,41.59071780807567,-14.427226998271976,2.8827936105155345,65,27.692307692307693,3.076923076923077,69.23076923076923
