entry_time,exit_time,entry_price,exit_price,pnl_pct,equity,dd,exit_reason
2025-01-18 16:45:00,2025-01-18 21:00:00,0.02751,0.0286104,-4.010000000000005,0.9599,4.0100000000000025,SL
2025-01-19 03:45:00,2025-01-19 11:00:00,0.02876,0.026459200000000002,7.989999999999994,1.0365960099999998,0.0,TP
2025-01-19 21:15:00,2025-01-19 23:15:00,0.02744,0.0252448,7.989999999999991,1.1194200311989997,0.0,TP
2025-01-22 04:15:00,2025-01-22 15:30:00,0.02376,0.0247104,-4.0100000000000025,1.0745312879479199,4.0099999999999945,SL
2025-01-22 21:45:00,2025-01-23 21:00:00,0.02546,0.0234232,7.989999999999993,1.1603863378549586,0.0,TP
2025-01-24 00:30:00,2025-01-24 05:45:00,0.02374,0.024689600000000003,-4.010000000000008,1.1138548457069748,4.009999999999996,SL
2025-01-24 13:00:00,2025-01-24 23:00:00,0.02501,0.0230092,7.990000000000001,1.2028518478789623,0.0,TP
2025-01-25 07:15:00,2025-01-26 01:00:00,0.02253,0.023431200000000003,-4.010000000000006,1.154617488779016,4.009999999999995,SL
2025-01-26 08:30:00,2025-01-26 11:15:00,0.02394,0.0248976,-4.009999999999998,1.1083173274789773,7.859199000000007,SL
2025-01-26 21:00:00,2025-01-27 01:00:00,0.02622,0.024122400000000002,7.989999999999993,1.1968718819445474,0.4971490001000184,TP
2025-01-29 17:45:00,2025-01-29 19:30:00,0.01578,0.0164112,-4.010000000000013,1.1488773194785709,4.4872133251960244,SL
2025-01-29 22:45:00,2025-01-30 18:00:00,0.01578,0.0145176,7.989999999999991,1.2406726173049085,0.0,TP
2025-01-30 22:00:00,2025-01-31 08:30:00,0.01506,0.013855200000000002,7.989999999999993,1.3398023594275705,0.0,TP
2025-01-31 18:15:00,2025-01-31 19:30:00,0.01471,0.015298400000000002,-4.010000000000007,1.2860762848145249,4.010000000000008,SL
2025-01-31 21:45:00,2025-02-01 00:45:00,0.01487,0.0154648,-4.010000000000009,1.2345046257934622,7.8591990000000225,SL
2025-02-01 05:30:00,2025-02-01 17:15:00,0.01556,0.0161824,-4.010000000000003,1.1850009902991443,11.554045120100028,SL
2025-02-01 18:45:00,2025-02-01 22:00:00,0.0152,0.013984,7.99,1.2796825694240461,4.487213325196004,TP
2025-02-02 08:15:00,2025-02-02 18:15:00,0.01377,0.0126684,7.989999999999996,1.3819292067210271,0.0,TP
