token,orig_trades,orig_return,orig_dd,orig_wr,opt_trades,opt_return,opt_dd,opt_wr,return_improvement,dd_improvement,trades_change
FARTCOIN,232,170.1432725135171,-38.0993007922308,43.96551724137931,238,261.81100376064205,-36.54120138235501,45.378151260504204,91.66773124712495,1.558099409875787,6
PENGU,246,141.7995525123285,-34.90589608899318,43.08943089430895,248,146.2240031421946,-36.671011360596914,43.145161290322584,4.424450629866101,-1.765115271603733,2
PI,143,118.43320078456267,-19.26000553191571,45.45454545454545,140,88.74473353625692,-21.770414722521153,44.285714285714285,-29.688467248305756,-2.5104091906054435,-3
MELANIA,207,63.186621460027716,-38.64006865567708,41.54589371980676,201,129.70198481537545,-36.77273589165577,43.78109452736319,66.51536335534774,1.867332764021306,-6
