entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl_pct,pnl_dollars,hold_minutes,exit_reason,capital_after,entry_rsi,entry_hour
2025-11-08 19:19:00,2025-11-08 19:21:00,0.014701347,0.014624174112214287,0.014631489857142858,0.01477815,-0.6249375297767811,-62.493752977678106,2.0,Stop Loss,9937.506247022322,24.9999999999998,19
2025-11-08 19:21:00,2025-11-08 19:24:00,0.014638315499999999,0.014555391306535714,0.014562672642857141,0.014768300000000002,-0.6664872673654564,-66.2322138300506,3.0,Stop Loss,9871.27403319227,21.86234817813728,19
2025-11-09 18:07:00,2025-11-09 18:11:00,0.015040516499999998,0.014981165027464284,0.014988659357142855,0.01511635,-0.4946106008773986,-48.82436780982691,4.0,Stop Loss,9822.449665382444,17.948717948717913,18
2025-11-09 18:11:00,2025-11-09 18:44:00,0.014993492999999998,0.015084703875,0.014932207285714285,0.015092249999999998,0.5083363963287347,49.93108666020898,33.0,Take Profit,9872.380752042653,12.169312169312306,18
2025-11-09 20:46:00,2025-11-09 21:00:00,0.0153506715,0.01537680775,0.015291528642857141,0.0153845,0.07026128140389395,6.936461221456551,14.0,Take Profit,9879.317213264108,23.566878980891374,20
2025-11-10 16:41:00,2025-11-10 17:05:00,0.015657825,0.015791950075,0.015514253571428572,0.015799849999999997,0.756600932760454,74.74700618592034,24.0,Take Profit,9954.064219450029,23.404255319149186,16
2025-11-10 18:58:00,2025-11-10 19:13:00,0.015811902,0.015899196425,0.01573433057142857,0.015907150000000002,0.4520804834231896,45.000381643544436,15.0,Take Profit,9999.064601093572,22.972972972972684,18
2025-11-11 17:26:00,2025-11-11 17:33:00,0.0153266595,0.015231825491678572,0.015239445214285713,0.015409200000000001,-0.7187519747628434,-71.86847427817249,7.0,Stop Loss,9927.1961268154,23.333333333332916,17
2025-11-11 17:33:00,2025-11-11 17:39:00,0.015252622499999998,0.015146902403035713,0.015154479642857141,0.01535995,-0.7931273422933427,-78.73530680485862,6.0,Stop Loss,9848.460820010541,18.75000000000007,17
2025-11-11 17:39:00,2025-11-11 18:26:00,0.0151645785,0.01505676063932143,0.015064292785714285,0.0153007,-0.8109848828213084,-79.86952844086495,47.0,Stop Loss,9768.591291569677,20.503597122302537,17
2025-11-11 19:07:00,2025-11-11 19:16:00,0.0149904915,0.01508715265,0.014907134357142856,0.015094699999999999,0.5448164157926373,53.2208889481616,9.0,Take Profit,9821.812180517838,13.85281385281462,19
2025-11-11 20:08:00,2025-11-11 20:25:00,0.014855423999999999,0.014948222149999999,0.01477185257142857,0.014955699999999999,0.5246752028080893,51.53261297756159,17.0,Take Profit,9873.3447934954,21.224489795918316,20
2025-11-12 16:14:00,2025-11-12 17:44:00,0.014367179999999998,0.014394799000000002,0.014115608571428571,0.0145848,0.09223675070545453,9.106852423466327,90.0,Time Exit,9882.451645918867,23.606557377048986,16
2025-11-12 19:07:00,2025-11-12 19:32:00,0.0141400665,0.014059319038178572,0.014066352214285715,0.014244150000000002,-0.6710543286442604,-66.31661954611451,25.0,Stop Loss,9816.135026372753,24.590163934426002,19
2025-11-14 17:50:00,2025-11-14 17:52:00,0.013140566999999999,0.013056678252214285,0.013063209857142856,0.0132523,-0.7383951909054941,-72.48186896752617,2.0,Stop Loss,9743.653157405226,17.129629629629818,17
2025-11-14 17:52:00,2025-11-14 18:12:00,0.0131135535,0.013229032175000002,0.013022910642857143,0.013235650000000002,0.7806055124570334,76.05949366139897,20.0,Take Profit,9819.712651066626,5.309734513274989,17
2025-11-14 20:23:00,2025-11-14 20:37:00,0.013216605,0.013130108090357142,0.013136676428571427,0.01331695,-0.7544563421760574,-74.08544487943682,14.0,Stop Loss,9745.62720618719,23.333333333333854,20
2025-11-14 20:39:00,2025-11-14 20:40:00,0.013089541499999998,0.01300482155067857,0.013011327214285712,0.01319315,-0.747233895254673,-72.8226297897917,1.0,Stop Loss,9672.804576397399,16.81818181818197,20
2025-11-14 20:40:00,2025-11-14 20:43:00,0.013025509499999999,0.012929898459535714,0.012936366642857142,0.01317895,-0.8340291791602117,-80.67401261029862,3.0,Stop Loss,9592.130563787101,13.909774436090316,20
