entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime_type,regime_favorable,price_vs_ema50,price_vs_ema100,ema50_slope,price_7d_change,price_14d_change,entry_date,week
2025-01-25 09:45:00,271,292,1.1969,1.2567450000000002,-5.010000000000012,False,SL,0.9498999999999999,5.010000000000014,21,Strong Downtrend,True,-3.772647751979144,-7.643614410870679,-3.1031272382342894,-3.2417138237671783,-10.798926814726483,2025-01-25 09:45:00,2025-01-20/2025-01-26
2025-01-25 23:30:00,326,330,1.3358,1.4025900000000002,-5.01000000000001,False,SL,0.9023100099999998,9.768999000000022,4,Strong Uptrend,False,0.6361510044280239,2.073201212656062,6.073139882058481,5.697103972147488,8.849413298565834,2025-01-25 23:30:00,2025-01-20/2025-01-26
2025-01-26 01:45:00,335,364,1.3486,1.247455,7.490000000000002,True,TP,0.9698930297489997,3.0106970251000287,29,Strong Uptrend,False,0.44865527965087576,2.165561347110421,3.530653033327017,-1.2376418894177843,12.149688149688153,2025-01-26 01:45:00,2025-01-20/2025-01-26
2025-01-26 16:45:00,395,399,1.2703,1.333815,-5.009999999999999,False,SL,0.9213013889585748,7.869861104142517,4,Weak Downtrend,True,-1.8564937170027007,-2.3424577498722186,-0.10548200828960796,0.15769139793424536,-4.931896422691217,2025-01-26 16:45:00,2025-01-20/2025-01-26
2025-01-26 19:45:00,407,409,1.2956,1.3603800000000001,-5.010000000000005,False,SL,0.8751441893717502,12.48558106282498,2,Weak Uptrend,False,-0.45236012059837105,-0.6044573679862664,0.754557651708503,4.551323434473864,-2.8712797061248962,2025-01-26 19:45:00,2025-01-20/2025-01-26
2025-01-26 21:30:00,414,420,1.2655,1.1705875000000001,7.489999999999995,True,TP,0.9406924891556943,5.930751084430574,6,Weak Uptrend,False,-3.0854772408902007,-3.0751230669450993,0.8090672427079214,-3.071384803921573,-1.1559790674060655,2025-01-26 21:30:00,2025-01-20/2025-01-26
2025-01-27 16:45:00,491,498,0.9465,0.8755125,7.489999999999998,True,TP,1.0111503565934556,0.0,7,Strong Downtrend,True,-4.3281176281766545,-10.055201829119827,-0.5669503997978674,6.7080045095828655,-6.794682422452003,2025-01-27 16:45:00,2025-01-27/2025-02-02
2025-01-28 06:00:00,544,553,1.0124,0.93647,7.489999999999994,True,TP,1.0868855183023054,0.0,9,Weak Uptrend,False,-0.8615081940156514,-1.590135660969886,2.148138640708475,-1.9657209257286756,-1.3159177307729863,2025-01-28 06:00:00,2025-01-27/2025-02-02
2025-01-29 13:00:00,668,680,0.9907,0.9163975000000001,7.489999999999994,True,TP,1.1682932436231481,0.0,12,Strong Uptrend,False,2.1472323764162566,4.368732060969347,7.0153159274092,5.382406127007755,23.42095427930735,2025-01-29 13:00:00,2025-01-27/2025-02-02
2025-01-29 19:00:00,692,694,0.9036,0.94878,-5.010000000000001,False,SL,1.1097617521176284,5.010000000000001,2,Weak Downtrend,True,-4.688134507815413,-4.2835296252494794,-2.1379939827826195,-13.09867282169649,-1.3213934694769058,2025-01-29 19:00:00,2025-01-27/2025-02-02
2025-01-30 00:00:00,712,734,0.988,1.0374,-5.010000000000011,False,SL,1.0541626883365351,9.768999000000006,22,Weak Uptrend,False,-0.8600653130591795,1.4007522312401244,5.1184779005652965,4.550264550264549,-4.917717255317089,2025-01-30 00:00:00,2025-01-27/2025-02-02
2025-01-30 18:15:00,785,818,1.1897,1.1004725,7.490000000000001,True,TP,1.1331194736929415,3.010697025100016,33,Strong Uptrend,False,2.477054997687106,8.216237727190798,7.930412666747855,4.773227653016288,20.050454086781034,2025-01-30 18:15:00,2025-01-27/2025-02-02
2025-01-31 17:00:00,876,880,1.0675,0.9874375,7.489999999999994,True,TP,1.2179901222725429,0.0,4,Weak Uptrend,False,-0.21415571261113303,-0.8062016775765408,2.2431796113737885,8.03562392470396,-0.12163173652695036,2025-01-31 17:00:00,2025-01-27/2025-02-02
2025-02-01 03:00:00,916,965,0.9031,0.8353675,7.489999999999997,True,TP,1.3092175824307564,0.0,49,Strong Downtrend,True,-4.675006728999194,-8.719244893138308,-4.395369569599968,1.6432189082723703,-19.394858978936103,2025-02-01 03:00:00,2025-01-27/2025-02-02
2025-02-02 07:30:00,1030,1042,0.6401,0.5920925,7.489999999999997,True,TP,1.40727797935482,0.0,12,Strong Downtrend,True,-6.839606476740764,-14.494147726328249,-6.306221523615009,-2.1104144364581745,-22.57167049715737,2025-02-02 07:30:00,2025-01-27/2025-02-02
