entry_time,entry_price,exit_price,exit_reason,pnl_pct,bars_held,equity
2025-12-02 04:52:00,0.17981,0.17891094999999999,SL,-0.6000000000000069,4,9939.999999999998
2025-12-02 04:56:00,0.17911,0.18090109999999998,TP,0.8999999999999946,4,10029.459999999997
2025-12-02 06:01:00,0.18764,0.1867018,SL,-0.6000000000000001,2,9969.283239999997
2025-12-02 06:02:00,0.1872,0.18907200000000002,TP,0.9000000000000067,5,10059.006789159997
2025-12-02 06:03:00,0.188,0.18706,SL,-0.5999999999999981,2,9998.652748425038
2025-12-02 06:05:00,0.18711,0.1889811,TP,0.9000000000000077,2,10088.640623160865
2025-12-02 07:33:00,0.19062,0.1896669,SL,-0.6000000000000064,1,10028.108779421898
2025-12-02 07:34:00,0.19104,0.1929504,TP,0.9000000000000036,1,10118.361758436697
2025-12-02 09:10:00,0.20481,0.20378595,SL,-0.5999999999999993,2,10057.651587886076
2025-12-02 09:12:00,0.20498,0.2039551,SL,-0.5999999999999976,6,9997.30567835876
2025-12-02 09:19:00,0.20499,0.20396505,SL,-0.5999999999999983,1,9937.321844288608
2025-12-02 09:21:00,0.2027,0.2016865,SL,-0.6000000000000003,2,9877.697913222877
2025-12-02 09:23:00,0.20105,0.2030605,TP,0.899999999999999,3,9966.597194441882
2025-12-02 09:24:00,0.20075,0.2027575,TP,0.8999999999999977,1,10056.296569191858
2025-12-02 09:56:00,0.20432,0.2032984,SL,-0.6000000000000055,1,9995.958789776707
2025-12-02 09:57:00,0.20262,0.2016069,SL,-0.5999999999999945,3,9935.983037038048
2025-12-02 09:58:00,0.20325,0.20223375,SL,-0.5999999999999982,2,9876.36713881582
2025-12-02 09:59:00,0.20448,0.2034576,SL,-0.6000000000000032,1,9817.108935982926
2025-12-02 10:00:00,0.19751,0.19652245,SL,-0.6000000000000019,1,9758.206282367028
2025-12-02 10:01:00,0.19612,0.19808119999999999,TP,0.899999999999998,2,9846.03013890833
2025-12-02 10:02:00,0.19698,0.19599509999999998,SL,-0.6000000000000055,2,9786.95395807488
2025-12-02 10:04:00,0.18878,0.1878361,SL,-0.5999999999999988,1,9728.232234326431
2025-12-02 10:05:00,0.19189,0.19093055,SL,-0.6000000000000003,1,9669.862840920472
2025-12-02 10:30:00,0.19271,0.19174644999999998,SL,-0.6000000000000039,5,9611.84366387495
2025-12-02 10:46:00,0.19022,0.1921222,TP,0.8999999999999962,1,9698.350256849824
2025-12-02 10:47:00,0.19211,0.19114945,SL,-0.6000000000000023,1,9640.160155308726
2025-12-02 11:31:00,0.20152,0.2035352,TP,0.8999999999999974,9,9726.921596706503
2025-12-02 11:36:00,0.20206,0.2040806,TP,0.9000000000000057,4,9814.463891076863
2025-12-02 11:46:00,0.20004,0.1990398,SL,-0.6000000000000033,4,9755.577107730402
2025-12-02 11:48:00,0.19996,0.1989602,SL,-0.5999999999999975,2,9697.043645084019
2025-12-02 11:50:00,0.19894,0.2009294,TP,0.9000000000000011,5,9784.317037889776
2025-12-02 13:12:00,0.20523,0.20420385,SL,-0.6000000000000016,1,9725.611135662437
2025-12-02 13:13:00,0.20318,0.20216409999999999,SL,-0.6000000000000069,2,9667.257468848462
2025-12-02 13:14:00,0.20352,0.2025024,SL,-0.6000000000000036,1,9609.25392403537
2025-12-02 13:15:00,0.20081,0.2028181,TP,0.9000000000000064,4,9695.73720935169
2025-12-02 13:16:00,0.20089,0.20289890000000002,TP,0.9000000000000039,3,9782.998844235855
2025-12-02 13:17:00,0.20124,0.2002338,SL,-0.6000000000000063,6,9724.30085117044
2025-12-02 13:52:00,0.20727,0.20934270000000002,TP,0.900000000000005,3,9811.819558830974
2025-12-02 14:11:00,0.20741,0.20637295,SL,-0.6000000000000055,2,9752.948641477988
2025-12-02 14:13:00,0.20566,0.2077166,TP,0.8999999999999959,2,9840.725179251289
2025-12-02 14:14:00,0.20731,0.20627345,SL,-0.5999999999999986,4,9781.68082817578
2025-12-02 14:19:00,0.20471,0.20368645,SL,-0.6000000000000059,6,9722.990743206725
2025-12-02 14:20:00,0.20487,0.20384565,SL,-0.6000000000000035,5,9664.652798747484
2025-12-02 14:28:00,0.20234,0.2013283,SL,-0.6000000000000021,1,9606.664881955
2025-12-02 14:29:00,0.20189,0.20390889999999998,TP,0.8999999999999952,2,9693.124865892592
2025-12-02 15:08:00,0.20581,0.20478095,SL,-0.6000000000000018,2,9634.966116697236
2025-12-02 15:09:00,0.20515,0.2072015,TP,0.9000000000000057,6,9721.680811747512
2025-12-02 15:10:00,0.20481,0.2068581,TP,0.8999999999999987,4,9809.175939053239
2025-12-02 15:11:00,0.20442,0.2064642,TP,0.899999999999998,2,9897.458522504718
2025-12-02 15:17:00,0.20396,0.20294020000000002,SL,-0.5999999999999938,1,9838.07377136969
2025-12-02 15:18:00,0.20234,0.2043634,TP,0.9000000000000042,3,9926.616435312018
2025-12-02 15:19:00,0.20369,0.20267155,SL,-0.600000000000002,5,9867.056736700146
2025-12-02 15:25:00,0.19814,0.1971493,SL,-0.6000000000000055,1,9807.854396279945
2025-12-02 15:26:00,0.19729,0.1992629,TP,0.8999999999999998,5,9896.125085846463
2025-12-02 15:27:00,0.19906,0.19806469999999998,SL,-0.6000000000000023,1,9836.748335331384
2025-12-02 16:00:00,0.19989,0.2018889,TP,0.8999999999999987,2,9925.279070349365
2025-12-02 16:45:00,0.20596,0.2049302,SL,-0.5999999999999988,1,9865.727395927268
2025-12-02 16:46:00,0.20549,0.2075449,TP,0.899999999999999,5,9954.518942490613
2025-12-02 16:47:00,0.20539,0.2074439,TP,0.8999999999999987,4,10044.109612973027
2025-12-02 17:00:00,0.20519,0.20416405,SL,-0.5999999999999989,2,9983.844955295188
2025-12-02 17:02:00,0.20344,0.2024228,SL,-0.599999999999998,4,9923.941885563418
2025-12-02 17:03:00,0.20371,0.20269145,SL,-0.6000000000000034,3,9864.398234250037
2025-12-02 17:05:00,0.20292,0.20190539999999998,SL,-0.6000000000000022,1,9805.211844844536
2025-12-02 17:06:00,0.20226,0.2012487,SL,-0.5999999999999964,2,9746.380573775468
2025-12-02 17:08:00,0.20201,0.2040301,TP,0.8999999999999984,4,9834.097998939447
2025-12-02 17:36:00,0.20468,0.20672680000000002,TP,0.9000000000000073,2,9922.604880929903
2025-12-02 17:58:00,0.21328,0.2122136,SL,-0.5999999999999978,1,9863.069251644323
2025-12-02 17:59:00,0.21521,0.21413395000000002,SL,-0.5999999999999976,1,9803.890836134457
2025-12-02 18:00:00,0.21153,0.2136453,TP,0.9000000000000067,1,9892.125853659667
2025-12-02 18:01:00,0.21342,0.2123529,SL,-0.5999999999999941,5,9832.77309853771
2025-12-02 18:07:00,0.20988,0.21197880000000002,TP,0.9000000000000057,2,9921.26805642455
2025-12-02 19:08:00,0.22701,0.2292801,TP,0.8999999999999987,2,10010.55946893237
2025-12-02 19:09:00,0.22792,0.23019920000000002,TP,0.9000000000000039,2,10100.654504152762
2025-12-02 19:29:00,0.22703,0.22589485,SL,-0.6000000000000006,1,10040.050577127846
2025-12-02 19:30:00,0.22437,0.22661370000000003,TP,0.9000000000000067,2,10130.411032321997
2025-12-02 19:31:00,0.22521,0.2274621,TP,0.9000000000000032,1,10221.584731612897
2025-12-02 19:35:00,0.22197,0.22086015,SL,-0.599999999999998,1,10160.25522322322
2025-12-02 19:36:00,0.2234,0.22228299999999998,SL,-0.6000000000000031,1,10099.29369188388
2025-12-02 19:37:00,0.22086,0.2230686,TP,0.9000000000000021,2,10190.187335110837
2025-12-02 19:38:00,0.22187,0.2240887,TP,0.8999999999999956,2,10281.899021126834
2025-12-02 20:31:00,0.23035,0.22919825,SL,-0.6000000000000031,4,10220.207627000073
2025-12-02 20:35:00,0.22887,0.22772565,SL,-0.599999999999995,1,10158.886381238071
2025-12-02 20:36:00,0.22821,0.22706895,SL,-0.600000000000002,1,10097.933062950642
2025-12-02 20:37:00,0.22778,0.2266411,SL,-0.5999999999999992,1,10037.345464572938
2025-12-02 20:38:00,0.22708,0.2259446,SL,-0.6000000000000039,1,9977.1213917855
2025-12-02 20:39:00,0.22701,0.22587495,SL,-0.5999999999999994,1,9917.258663434786
2025-12-02 20:40:00,0.22294,0.2218253,SL,-0.5999999999999983,3,9857.755111454178
2025-12-02 20:41:00,0.22321,0.22209394999999998,SL,-0.6000000000000033,2,9798.608580785452
2025-12-02 20:42:00,0.2234,0.22228299999999998,SL,-0.6000000000000031,1,9739.81692930074
2025-12-02 20:43:00,0.22357,0.22245215,SL,-0.6000000000000015,1,9681.378027724935
2025-12-02 20:44:00,0.22255,0.22143725,SL,-0.5999999999999981,2,9623.289759558586
