sl,tp,trades,return,max_dd,ratio,win_rate,tp_count,sl_count
1.0,10.0,3,7.700000000000009,-1.0999999999999994,7.0000000000000115,0.3333333333333333,1,2
1.0,4.0,3,6.700000000000008,-1.0999999999999992,6.090909090909102,0.6666666666666666,2,1
1.0,8.0,3,5.700000000000014,-1.0999999999999994,5.181818181818198,0.3333333333333333,1,2
1.0,3.0,3,4.700000000000015,-1.0999999999999994,4.2727272727272885,0.6666666666666666,2,1
1.5,10.0,3,6.70000000000002,-1.5999999999999828,4.187500000000058,0.3333333333333333,1,2
1.5,4.0,3,6.200000000000025,-1.5999999999999828,3.8750000000000573,0.6666666666666666,2,1
1.0,6.0,3,3.7000000000000046,-1.0999999999999994,3.3636363636363695,0.3333333333333333,1,2
1.5,8.0,3,4.700000000000025,-1.5999999999999828,2.937500000000047,0.3333333333333333,1,2
2.0,4.0,3,5.700000000000009,-2.0999999999999988,2.71428571428572,0.6666666666666666,2,1
2.0,10.0,3,5.6999999999999975,-2.099999999999999,2.714285714285714,0.3333333333333333,1,2
1.5,3.0,3,4.200000000000031,-1.5999999999999828,2.625000000000048,0.6666666666666666,2,1
1.0,5.0,3,2.7000000000000064,-1.0999999999999994,2.4545454545454617,0.3333333333333333,1,2
2.5,4.0,3,5.20000000000001,-2.5999999999999983,2.0000000000000053,0.6666666666666666,2,1
2.5,10.0,3,4.700000000000007,-2.5999999999999983,1.8076923076923117,0.3333333333333333,1,2
2.0,3.0,3,3.7000000000000157,-2.0999999999999988,1.7619047619047705,0.6666666666666666,2,1
2.0,8.0,3,3.700000000000003,-2.099999999999999,1.7619047619047639,0.3333333333333333,1,2
1.5,6.0,3,2.7000000000000153,-1.5999999999999828,1.6875000000000278,0.3333333333333333,1,2
2.5,3.0,3,3.200000000000016,-2.5999999999999983,1.2307692307692377,0.6666666666666666,2,1
1.5,5.0,3,1.700000000000017,-1.5999999999999828,1.0625000000000222,0.3333333333333333,1,2
2.5,8.0,3,2.7000000000000126,-2.5999999999999983,1.0384615384615439,0.3333333333333333,1,2
2.0,6.0,3,1.699999999999993,-2.099999999999999,0.8095238095238065,0.3333333333333333,1,2
2.0,5.0,3,0.6999999999999948,-2.099999999999999,0.333333333333331,0.3333333333333333,1,2
2.5,6.0,3,0.7000000000000028,-2.5999999999999983,0.2692307692307705,0.3333333333333333,1,2
2.5,5.0,3,-0.2999999999999954,-2.5999999999999983,0.11538461538461368,0.3333333333333333,1,2
