direction,entry,exit,pnl,bars,exit_reason,zone_bars,cumulative_pnl,equity,running_max,drawdown,drawdown_pct
LONG,102845.89,102751.55142857143,-0.0019172809086349654,15,SL,5,-0.19172809086349654,99.80827190913651,99.80827190913651,0.0,0.0
LONG,105049.41,104969.21,-0.001763450265927168,3,SL,5,-0.36807311745621335,99.63192688254378,99.80827190913651,-0.17634502659272755,-0.17668377902912558
LONG,104582.56,104486.97071428571,-0.001914007896864355,4,SL,9,-0.5594739071426489,99.44052609285735,99.80827190913651,-0.3677458162791538,-0.3684522427298836
LONG,103146.58,103342.86571428574,0.000902978404962452,16,TP,8,-0.46917606664640366,99.5308239333536,99.80827190913651,-0.2774479757829056,-0.27798094333853285
LONG,103902.8,103706.33714285714,-0.002890833135804404,24,SL,5,-0.758259380226844,99.24174061977315,99.80827190913651,-0.5665312893633541,-0.5676195755389022
LONG,101632.66,102368.41142857142,0.006239320790889625,12,TP,9,-0.1343273011378815,99.86567269886211,99.86567269886211,0.0,0.0
LONG,97283.1,97063.89,-0.003253320463677766,90,TIME,5,-0.45965934750565807,99.54034065249434,99.86567269886211,-0.3253320463677767,-0.32576964393840563
LONG,96457.74,96172.7692857143,-0.003954358191325057,2,SL,5,-0.8550951666381638,99.14490483336184,99.86567269886211,-0.720767865500278,-0.7217373558116438
LONG,95069.77,94957.84214285715,-0.0021773233188936416,5,SL,6,-1.072827498527528,98.92717250147247,99.86567269886211,-0.9385001973896436,-0.9397625550669695
LONG,96134.3,96067.64642857143,-0.0016933380846230186,3,SL,6,-1.2421613069898298,98.75783869301017,99.86567269886211,-1.1078340058519416,-1.1093241310180093
LONG,94526.29,94355.71857142856,-0.0028044866520354752,18,SL,7,-1.5226099721933775,98.47739002780662,99.86567269886211,-1.3882826710554923,-1.3901500220618959
LONG,94237.92,94164.98285714285,-0.001773968089036181,4,SL,9,-1.7000067810969957,98.299993218903,99.86567269886211,-1.5656794799591154,-1.5677854438334495
LONG,93807.32,93680.94857142858,-0.002347138246476143,3,SL,6,-1.93472060574461,98.06527939425538,99.86567269886211,-1.8003933046067289,-1.8028149773102593
LONG,93308.82,94258.96285714285,0.009182776474322973,18,TP,5,-1.0164429583123127,98.98355704168769,99.86567269886211,-0.882115657174424,-0.8833021731445012
LONG,95432.76,95372.60142857142,-0.0016303765229945802,21,SL,5,-1.1794806106117708,98.82051938938822,99.86567269886211,-1.0451533094738892,-1.0465591241001053
LONG,87392.01,87316.44285714286,-0.0018646916675464356,52,SL,6,-1.3659497773664144,98.63405022263359,99.86567269886211,-1.231622476228523,-1.2332791067681421
LONG,86580.78,86442.57571428572,-0.0025962467156599436,1,SL,7,-1.6255744489324089,98.37442555106759,99.86567269886211,-1.4912471477945246,-1.493252994240849
LONG,92076.83,92016.95642857143,-0.0016502566544545063,1,SL,5,-1.7906001143778596,98.20939988562213,99.86567269886211,-1.6562728132399798,-1.658500632378809
LONG,90204.57,90047.78214285715,-0.002738136517283495,4,SL,5,-2.064413766106209,97.93558623389379,99.86567269886211,-1.9300864649683263,-1.9326825853247547
