name,trades,wr,pnl,dd,rr
BB_MR_ATR1.5x3,902,48.33702882483371,10.994346588502285,14.941618826057013,0.7358203094653308
BB_Limit_ATR2.5x5,572,41.25874125874126,12.413174250067556,22.5446776627184,0.5506033147058442
BB_Limit_ATR3x6,460,39.130434782608695,10.995199560989604,26.266981583437243,0.4185939494442207
BB_Limit_ATR2x4,756,42.06349206349206,7.11461440104463,22.76899223504132,0.31246944649993286
BB_MR_ATR3x6,460,39.130434782608695,-2.8048004390103536,32.74698158343721,-0.08565065552267472
BB_MR_ATR2.5x5,572,41.25874125874126,-4.746825749932398,30.304344048179694,-0.1566384589082544
RSI<25_ATR2x4,531,42.749529190207156,-12.644489499219285,28.075624432413708,-0.45037251191539096
BB_MR_ATR2x4,756,42.06349206349206,-15.565385598955352,33.077737073797806,-0.4705698447335841
RSI<30_ATR2x4,870,41.724137931034484,-24.31890113831573,47.30797393642941,-0.5140550126072723
RSI<20_ATR2x4,306,40.52287581699346,-10.865775175032837,17.37573948811956,-0.6253417405608649
EMA9_20_ATR3x6,460,26.08695652173913,-91.54287274740334,95.61226519866557,-0.9574385938581547
EMA9_20_ATR2.5x5,648,25.617283950617285,-121.95464396154489,126.23215637841311,-0.9661139242203446
EMA9_20_ATR2x4,921,22.90988056460369,-182.1538426177709,184.6432297499142,-0.9865178531835962
