token,15m_return,15m_max_dd,15m_trades,15m_win_rate,15m_profit_factor,15m_sharpe,30m_return,30m_max_dd,30m_trades,30m_win_rate,30m_profit_factor,30m_sharpe,return_difference,best_timeframe,best_return
MELANIA,58.06758003270489,23.61554308489303,102,47.05882352941176,1.3259505352528609,1.4013069560896303,234.5379485717062,23.11196075846657,223,48.4304932735426,1.3934332277569816,2.440916477922461,176.47036853900133,30M,234.5379485717062
PI,15.36249532996836,18.80092600332494,66,43.93939393939394,1.1691658435844476,0.6230053008171144,178.1093628693031,21.06000007376132,161,49.68944099378882,1.4654304635761577,2.3925315246281613,162.74686753933474,30M,178.1093628693031
PENGU,128.93104334771778,19.26000553191571,124,50.0,1.4916943521594688,2.197411001863581,-1.4051550073226338,65.61881998959035,309,41.10032362459547,1.035362855687358,0.2996075900766426,-130.3361983550404,15M,128.93104334771778
FARTCOIN,94.23634322856267,32.405270797967646,144,47.22222222222222,1.3346738940374197,1.7039649409902322,-72.4434447372698,76.2977879009909,353,36.26062322946176,0.844087947019867,-1.5636722411124293,-166.67978796583247,15M,94.23634322856267
