vol_threshold,min_zone_bars,sl_atr_mult,rr_target,session,total_trades,total_return,avg_trade,win_rate,actual_rr,tp_count,sl_count,zones_found,acc_zones,dist_zones
1.3,5,1.0,7.0,asian,26,6.972954444052759,0.26819055554049076,50.0,2.676626476024696,2,12,170,40,60
1.5,5,2.0,5.0,asian,16,6.8809116563506745,0.43005697852191715,68.75,1.6111564496746051,1,5,100,26,39
1.3,5,1.0,3.0,asian,26,6.748715087680137,0.2595659649107745,57.692307692307686,2.1631414346800346,11,10,170,40,60
1.3,5,1.0,3.0,eu_us,62,6.6966378956864565,0.10801028864010415,45.16129032258064,1.834210233852169,25,33,170,40,60
1.5,5,2.0,4.0,all,65,6.676552051612007,0.10271618540941549,43.07692307692308,1.7526886289258832,7,30,100,26,39
1.5,5,2.0,7.0,asian,16,6.558875242758777,0.40992970267242357,68.75,1.5570254165507345,0,5,100,26,39
1.5,5,1.5,3.0,asian,16,6.411239864910579,0.4007024915569112,68.75,1.7695301013739022,7,5,100,26,39
1.5,5,2.0,3.0,asian,16,6.3536401370874795,0.39710250856796747,68.75,1.522527490743646,5,5,100,26,39
1.5,5,2.0,5.0,all,65,6.281390033400393,0.09663676974462143,41.53846153846154,1.8353148079028483,3,31,100,26,39
1.3,7,2.0,2.0,all,26,6.124179148877064,0.23554535187988707,61.53846153846154,1.1968135133855287,8,8,41,8,18
1.5,5,1.0,5.0,all,65,6.071681365648075,0.09341048254843193,35.38461538461539,2.536311416099521,11,40,100,26,39
1.3,5,1.0,2.0,asian,26,5.902153746394392,0.2270059133228612,73.07692307692307,1.2637519515649123,18,7,170,40,60
1.3,5,1.0,5.0,asian,26,5.821915532530765,0.22391982817426018,50.0,2.399862540525532,4,12,170,40,60
1.3,5,1.0,3.0,eu,46,5.7711073915986315,0.1254588563391007,45.65217391304348,1.8649219490376276,20,25,170,40,60
1.5,5,1.0,4.0,asian,16,5.712070126129499,0.35700438288309366,62.5,2.3921101520323282,7,6,100,26,39
1.5,5,0.5,7.0,all,65,5.7011739622011035,0.08771036864924775,32.30769230769231,3.160611468047263,19,43,100,26,39
1.5,5,2.0,3.0,all,65,5.687565078928726,0.0875010012142881,43.07692307692308,1.6888067666403181,13,30,100,26,39
1.5,5,1.0,3.0,all,65,5.65859143090717,0.08705525278318724,46.15384615384615,1.6555025625805535,25,34,100,26,39
1.3,7,0.5,7.0,all,26,5.6486438441160765,0.21725553246600293,34.61538461538461,4.232264654331902,7,16,41,8,18
1.5,5,1.0,7.0,asian,16,5.479418161474803,0.3424636350921752,56.25,2.646217339336716,2,7,100,26,39
1.3,5,1.0,4.0,eu_us,62,5.2533429468168,0.08473133785188387,38.70967741935484,2.157130723072031,17,36,170,40,60
2.0,5,1.5,7.0,all,12,5.096944581587582,0.42474538179896515,50.0,2.6902678905047663,1,5,21,5,7
1.3,7,1.5,7.0,us,12,4.876491719434128,0.406374309952844,58.333333333333336,1.695293266656089,1,4,41,8,18
2.0,5,2.0,7.0,all,12,4.847850275221576,0.4039875229351314,50.0,2.4849935364948705,1,4,21,5,7
1.3,7,1.0,5.0,eu_us,17,4.8210586575210606,0.283591685736533,47.05882352941176,2.449815124959667,3,8,41,8,18
1.3,7,1.0,5.0,eu,14,4.78898026330572,0.34207001880755145,42.857142857142854,2.977283984807562,3,8,41,8,18
1.5,7,1.0,7.0,all,11,4.709709288215292,0.42815538983775375,36.36363636363637,4.276739099041431,1,6,20,6,5
1.5,5,1.0,3.0,asian,16,4.69509156304262,0.29344322269016376,68.75,1.8024051702362256,8,5,100,26,39
1.3,7,1.0,7.0,eu_us,17,4.670747558996869,0.2747498564115805,47.05882352941176,2.408510002802837,1,8,41,8,18
1.3,7,1.0,5.0,us,12,4.666582824420052,0.38888190203500433,50.0,2.6299512977572945,2,5,41,8,18
1.5,5,1.5,2.0,asian,16,4.640335214611292,0.29002095091320573,75.0,1.2059561910811913,8,4,100,26,39
1.3,7,1.0,7.0,eu,14,4.638669164781528,0.33133351177010917,42.857142857142854,2.925685520258434,1,8,41,8,18
1.3,5,1.0,4.0,eu,46,4.632413428373196,0.1007046397472434,36.95652173913043,2.389145993342819,13,28,170,40,60
2.0,5,1.5,5.0,all,12,4.591024436220238,0.38258536968501977,50.0,2.522492753226823,3,5,21,5,7
1.3,7,1.0,7.0,us,12,4.579970017424829,0.3816641681187357,50.0,2.599699041989861,1,5,41,8,18
1.3,7,1.5,7.0,eu_us,17,4.5533673349106625,0.26784513734768606,52.94117647058824,1.6679241104941327,1,7,41,8,18
1.3,7,0.5,7.0,us,12,4.544547624930228,0.37871230207751905,41.66666666666667,4.427267179485066,4,6,41,8,18
1.3,7,1.5,7.0,eu,14,4.521288940695323,0.3229492100496659,50.0,1.9068606205279282,1,7,41,8,18
1.3,7,0.5,7.0,eu,14,4.4648607223383046,0.31891862302416457,35.714285714285715,4.90007844546279,5,9,41,8,18
1.5,5,2.0,2.0,asian,16,4.433906146171719,0.2771191341357324,68.75,1.199839807409265,7,5,100,26,39
1.3,7,2.0,7.0,us,12,4.426062277070253,0.36883852308918774,58.333333333333336,1.5044419732830985,1,3,41,8,18
1.3,5,0.5,7.0,eu,46,4.412517024131571,0.09592428313329501,32.608695652173914,3.212353152548429,14,31,170,40,60
1.5,5,1.0,5.0,asian,16,4.38144375112165,0.27384023444510314,56.25,2.2718164877450184,4,7,100,26,39
2.0,5,2.0,5.0,all,12,4.35263245237646,0.36271937103137164,50.0,2.3332984088955664,2,4,21,5,7
1.3,5,1.0,5.0,eu,46,4.335097802141276,0.0942412565682886,32.608695652173914,2.8049176330337104,8,30,170,40,60
1.3,5,0.5,7.0,eu_us,62,4.3101017330237,0.06951776988747903,32.25806451612903,2.965473788271778,17,41,170,40,60
1.5,5,1.5,2.0,all,65,4.207746163808515,0.06473455636628485,50.76923076923077,1.2273627482458416,27,28,100,26,39
1.3,5,1.0,5.0,eu_us,62,4.18108725388229,0.06743689119164985,33.87096774193548,2.4850179819555556,10,39,170,40,60
1.3,7,1.5,5.0,us,12,4.165780749886016,0.3471483958238347,58.333333333333336,1.552318999746009,1,4,41,8,18
1.3,7,0.5,5.0,all,26,4.164531733205068,0.16017429743096417,42.30769230769231,2.739405294013079,10,14,41,8,18
1.3,7,0.5,7.0,eu_us,17,4.153510360733816,0.24432413886669502,35.294117647058826,4.276635883380739,5,10,41,8,18
1.3,7,1.0,3.0,eu_us,17,4.072581267600183,0.23956360397648138,47.05882352941176,2.2441353692672985,7,8,41,8,18
1.3,7,1.0,3.0,us,12,3.9813879587642376,0.33178232989701983,50.0,2.3906253707324963,5,5,41,8,18
1.3,7,1.5,3.0,us,12,3.944608314870368,0.3287173595725307,58.333333333333336,1.5078255725836485,3,4,41,8,18
1.3,7,2.0,3.0,us,12,3.942715074525638,0.32855958954380315,58.333333333333336,1.4181531247646115,3,3,41,8,18
1.5,7,1.0,5.0,all,11,3.9212573220629765,0.35647793836936154,36.36363636363637,3.853737956364092,1,6,20,6,5
1.5,7,1.0,4.0,all,11,3.884229642693604,0.35311178569941853,36.36363636363637,3.8338727631039755,3,6,20,6,5
1.3,5,1.0,7.0,eu,46,3.861705059765355,0.08395010999489902,32.608695652173914,2.724300616882992,3,30,170,40,60
1.3,5,0.5,5.0,all,100,3.8457925985701897,0.0384579259857019,36.0,2.209514665031594,34,63,170,40,60
1.3,7,1.5,5.0,eu_us,17,3.842656365362551,0.22603860972720888,52.94117647058824,1.5463286324807046,1,7,41,8,18
1.3,7,1.5,4.0,us,12,3.8141103910935503,0.31784253259112916,58.333333333333336,1.4815732058906999,1,4,41,8,18
1.3,7,1.5,5.0,eu,14,3.810577971147211,0.2721841407962294,50.0,1.764309281891011,1,7,41,8,18
1.3,7,1.0,4.0,us,12,3.801630063651041,0.3168025053042534,50.0,2.3278392539001467,3,5,41,8,18
1.3,5,1.0,7.0,eu_us,62,3.789403583579401,0.06111941263837743,33.87096774193548,2.4351206193761707,3,39,170,40,60
1.3,7,2.0,7.0,eu_us,17,3.7622510719908075,0.22130888658769454,52.94117647058824,1.4475102557159585,1,6,41,8,18
1.3,7,1.0,4.0,eu_us,17,3.7469257063171737,0.2204073944892455,47.05882352941176,2.154646017703009,4,8,41,8,18
1.3,7,2.0,7.0,eu,14,3.7301726777754673,0.2664409055553905,50.0,1.6457199434775087,1,6,41,8,18
1.3,7,2.0,5.0,us,12,3.715351307522141,0.3096126089601784,58.333333333333336,1.3775633426240057,1,3,41,8,18
1.3,7,1.0,4.0,eu,14,3.714847312101832,0.2653462365787023,42.857142857142854,2.6085579788910827,4,8,41,8,18
1.3,5,1.0,3.0,us,34,3.6438095250073923,0.10717086838257037,41.17647058823529,2.060810602840788,11,19,170,40,60
1.3,7,1.5,3.0,eu_us,17,3.5804837466607906,0.2106166909800465,52.94117647058824,1.5014735419319512,4,7,41,8,18
1.3,7,1.5,3.0,eu,14,3.5484053524454495,0.25345752517467496,50.0,1.7117238296450092,4,7,41,8,18
1.3,7,1.5,2.0,us,12,3.5139257505420907,0.29282714587850756,58.333333333333336,1.421184833177388,6,4,41,8,18
1.3,7,1.5,4.0,eu_us,17,3.4909860065700857,0.20535211803353443,52.94117647058824,1.4861613813579133,1,7,41,8,18
1.3,7,1.5,4.0,eu,14,3.4589076123547446,0.24706482945391034,50.0,1.6937727592358658,1,7,41,8,18
1.5,7,1.5,3.0,all,11,3.4414493541674362,0.31285903219703964,36.36363636363637,3.1682017526772044,2,5,20,6,5
1.3,7,1.0,2.0,all,26,3.429949784313825,0.13192114555053172,53.84615384615385,1.4285350031008583,13,11,41,8,18
2.0,5,2.0,4.0,all,12,3.425163152612621,0.28543026271771843,50.0,2.0491960053031257,3,4,21,5,7
1.3,7,2.0,4.0,us,12,3.363680948729675,0.28030674572747294,58.333333333333336,1.3147819089909352,1,3,41,8,18
2.0,5,1.5,4.0,all,12,3.3501819918130957,0.2791818326510913,50.0,2.1109999250463063,3,5,21,5,7
1.3,5,1.5,2.0,eu_us,62,3.332103184437732,0.05374359974899568,46.774193548387096,1.3687354462476125,26,30,170,40,60
1.5,7,1.5,4.0,all,11,3.330791042244474,0.3027991856585886,36.36363636363637,3.1226000901894495,1,5,20,6,5
1.3,7,2.0,3.0,eu_us,17,3.2789038694461934,0.19287669820271724,52.94117647058824,1.3757425640412404,3,6,41,8,18
1.5,5,1.0,2.0,asian,16,3.2771482845685886,0.2048217677855368,75.0,1.1613326226178964,11,4,100,26,39
1.3,7,2.0,3.0,eu,14,3.2468254752308523,0.23191610537363233,50.0,1.5620490372573579,3,6,41,8,18
1.3,5,1.5,3.0,eu,46,3.2350107723338364,0.07032632113769209,39.130434782608695,1.911181264132376,12,25,170,40,60
1.5,5,1.0,7.0,eu,32,3.204126180995339,0.10012894315610435,28.125,3.4348935038441426,4,22,100,26,39
1.3,5,0.5,7.0,us,34,3.0919666106571397,0.09094019443109234,29.411764705882355,3.58281382020733,7,23,170,40,60
1.3,7,1.5,2.0,eu_us,17,3.0575278887656876,0.17985458169209928,52.94117647058824,1.4120010696537917,8,7,41,8,18
1.3,7,2.0,5.0,eu_us,17,3.051540102442696,0.1795023589672174,52.94117647058824,1.3419834512494309,1,6,41,8,18
1.3,5,1.5,2.0,eu,46,3.045594978814572,0.06620858649596896,47.82608695652174,1.3490467112614009,21,23,170,40,60
1.3,7,2.0,5.0,eu,14,3.0194617082273556,0.21567583630195397,50.0,1.5226907202408153,1,6,41,8,18
1.3,5,1.5,4.0,eu,46,2.976187214432071,0.06469972205287111,36.95652173913043,2.0520164743736125,6,26,170,40,60
1.5,7,2.0,3.0,all,11,2.9088299758625147,0.26443908871477406,36.36363636363637,2.8403684807851066,1,4,20,6,5
1.3,7,1.0,3.0,eu,14,2.883447602099154,0.20596054300708244,42.857142857142854,2.323156908152292,6,8,41,8,18
1.5,5,2.0,2.0,all,65,2.8066224588794957,0.04317880705968455,46.15384615384615,1.3338652296783708,22,29,100,26,39
1.3,5,2.0,3.0,eu,46,2.740946089688624,0.059585784558448346,39.130434782608695,1.8119543682798736,10,24,170,40,60
1.3,7,2.0,4.0,eu_us,17,2.6998697436502304,0.15881586727354297,52.94117647058824,1.289767218801855,1,6,41,8,18
1.3,5,1.5,3.0,eu_us,62,2.679972508323926,0.04322536303748268,38.70967741935484,1.818456453748728,15,33,170,40,60
1.3,7,2.0,4.0,eu,14,2.6677913494348893,0.19055652495963496,50.0,1.461814030656137,1,6,41,8,18
1.5,7,0.5,7.0,all,11,2.6577380356132996,0.24161254869211815,27.27272727272727,5.702851860306654,2,7,20,6,5
1.3,7,0.5,5.0,us,12,2.572612112817286,0.21438434273477383,41.66666666666667,3.113698448654077,4,6,41,8,18
1.3,5,1.5,7.0,eu,46,2.4091761463116224,0.052373394485035266,34.78260869565217,2.178782069495498,2,27,170,40,60
2.0,5,1.0,2.0,all,12,2.3861092876367183,0.19884244063639317,58.333333333333336,1.5200160251791655,7,5,21,5,7
1.5,7,1.0,3.0,all,11,2.3692006318481007,0.21538187562255462,36.36363636363637,3.021066111223341,4,6,20,6,5
1.3,7,2.0,2.0,us,12,2.356891181247933,0.19640759843732777,58.333333333333336,1.1350462463475257,4,3,41,8,18
2.0,5,1.0,7.0,all,12,2.343180859441508,0.19526507162012566,33.33333333333333,3.502941895467866,1,8,21,5,7
1.3,5,1.0,2.0,eu_us,62,2.341968934975495,0.03777369249960475,50.0,1.1921707214622128,30,30,170,40,60
1.3,7,0.5,4.0,all,26,2.339234421527382,0.0899705546741301,42.30769230769231,2.136411370330411,10,14,41,8,18
1.3,7,0.5,5.0,eu,14,2.2850395415932594,0.16321711011380424,35.714285714285715,3.3865672571783065,5,9,41,8,18
1.5,7,1.5,5.0,all,11,2.2755396734042366,0.20686724303674878,36.36363636363637,2.6877369884000886,0,5,20,6,5
1.5,7,1.5,7.0,all,11,2.2755396734042366,0.20686724303674878,36.36363636363637,2.6877369884000886,0,5,20,6,5
1.5,5,0.5,7.0,asian,16,2.2419844974738714,0.14012403109211696,31.25,4.00891248700533,5,11,100,26,39
2.0,5,2.0,3.0,all,12,2.2326204872817783,0.18605170727348153,50.0,1.6838963261727249,4,4,21,5,7
1.3,5,1.5,2.0,us,34,2.2278676607680246,0.06552551943435367,44.11764705882353,1.5529492463474883,12,16,170,40,60
1.3,5,1.5,4.0,eu_us,62,2.1972300678945857,0.03543919464346106,37.096774193548384,1.8963435474061014,6,34,170,40,60
1.5,7,2.0,2.0,all,11,2.175647975524153,0.19778617959310482,36.36363636363637,2.5655368300933614,3,4,20,6,5
2.0,5,1.5,3.0,all,12,2.113400512259634,0.1761167093549695,50.0,1.700853809270989,4,5,21,5,7
1.5,5,1.0,2.0,all,65,2.0721961398484745,0.03187994061305346,50.76923076923077,1.130479170666889,32,31,100,26,39
1.3,7,0.5,5.0,eu_us,17,1.9736891799887701,0.11609936352875118,35.294117647058826,2.994356031640882,5,10,41,8,18
2.0,5,1.0,5.0,all,12,1.9113190020878197,0.1592765835073183,33.33333333333333,3.2259409649352873,2,8,21,5,7
1.3,5,0.5,7.0,asian,26,1.8814024737457544,0.07236163360560595,30.76923076923077,3.1811149274884154,7,18,170,40,60
1.5,5,0.5,7.0,eu_us,45,1.8697948127417894,0.04155099583870643,31.11111111111111,2.7304459424464818,13,30,100,26,39
1.3,7,1.5,2.0,eu,14,1.86839422326468,0.13345673023319143,50.0,1.3747544487700956,7,7,41,8,18
2.0,5,1.0,4.0,all,12,1.8557708568264892,0.15464757140220745,41.66666666666667,2.3088921390054016,3,7,21,5,7
1.5,7,2.0,7.0,all,11,1.853578607022277,0.1685071460929343,36.36363636363637,2.4448098398756946,0,4,20,6,5
1.5,7,2.0,4.0,all,11,1.853578607022277,0.1685071460929343,36.36363636363637,2.4448098398756946,0,4,20,6,5
1.5,7,2.0,5.0,all,11,1.853578607022277,0.1685071460929343,36.36363636363637,2.4448098398756946,0,4,20,6,5
1.3,5,1.0,2.0,eu,46,1.7706711442840555,0.03849285096269686,50.0,1.184461003779102,23,23,170,40,60
1.3,7,2.0,2.0,eu_us,17,1.7681223363896221,0.10400719625821306,52.94117647058824,1.1514207873112852,6,6,41,8,18
2.0,5,1.0,2.0,eu_us,10,1.7497004304625314,0.17497004304625313,60.0,1.3198913406523212,6,4,21,5,7
1.3,7,2.0,2.0,eu,14,1.7360439421742813,0.12400313872673438,50.0,1.3005217969919207,6,6,41,8,18
1.5,5,0.5,7.0,eu,32,1.7077631619310443,0.053367598810345133,31.25,2.8261784109570023,10,22,100,26,39
1.5,5,1.0,4.0,eu,32,1.6821011785044824,0.052565661828265074,34.375,2.276438986102594,9,20,100,26,39
2.0,5,0.5,3.0,all,12,1.6608872189246788,0.13840726824372324,58.333333333333336,1.5729460690071901,7,5,21,5,7
1.3,5,1.5,7.0,eu_us,62,1.6302189997741376,0.02629385483506674,35.483870967741936,1.976123789240275,2,35,170,40,60
1.3,5,2.0,7.0,eu,46,1.6181703983906073,0.035177617356317546,36.95652173913043,1.8698874151450993,2,25,170,40,60
1.5,5,1.0,7.0,eu_us,45,1.613016364598632,0.03584480810219182,26.666666666666668,3.1019977753202634,4,31,100,26,39
1.3,7,0.5,4.0,us,12,1.5925722431666574,0.13271435359722145,41.66666666666667,2.4608628362149356,4,6,41,8,18
1.3,7,1.0,2.0,us,12,1.588658432833557,0.13238820273612975,50.0,1.55488908516521,5,5,41,8,18
1.5,7,0.5,4.0,all,11,1.5717542258612776,0.14288674780557067,36.36363636363637,3.1001946983749717,4,6,20,6,5
2.0,5,0.5,7.0,all,12,1.5637856588604955,0.13031547157170795,33.33333333333333,3.42331296718187,3,8,21,5,7
1.3,5,1.5,5.0,eu,46,1.524052840616432,0.033131583491661565,34.78260869565217,2.067173547231804,3,27,170,40,60
1.3,5,0.5,4.0,all,100,1.5133220492203951,0.015133220492203949,39.0,1.7194283548199778,38,60,170,40,60
1.3,5,1.0,5.0,us,34,1.481084236150811,0.043561301063259145,32.35294117647059,2.4210976265638178,4,21,170,40,60
1.3,5,1.0,7.0,us,34,1.4761805012286202,0.04341707356554765,32.35294117647059,2.4200044024151324,1,21,170,40,60
1.5,5,1.0,7.0,us,28,1.436901275862136,0.051317902709362,25.0,3.5076584835670963,2,19,100,26,39
1.5,7,0.5,5.0,all,11,1.3986692800968314,0.12715175273607557,27.27272727272727,4.264498696055956,3,7,20,6,5
1.3,5,1.0,4.0,us,34,1.3910715420843895,0.04091386888483499,35.294117647058826,2.112992461613671,7,20,170,40,60
1.5,7,1.5,2.0,all,11,1.3845083689534077,0.12586439717758252,36.36363636363637,2.3205480433899917,4,5,20,6,5
2.0,5,2.0,2.0,all,12,1.342288821381122,0.11185740178176015,58.333333333333336,1.028999591024992,5,4,21,5,7
1.3,5,0.5,5.0,eu,46,1.337514815424604,0.02907640903096965,36.95652173913043,2.0046361652048144,16,29,170,40,60
1.5,5,1.0,5.0,eu,32,1.3189677995507763,0.04121774373596176,28.125,2.9175320737073474,6,22,100,26,39
2.0,5,1.5,2.0,all,12,1.30936115594248,0.10911342966187333,58.333333333333336,1.0637783031024823,5,4,21,5,7
1.3,5,2.0,3.0,eu_us,62,1.2675013189720432,0.02044356966083941,38.70967741935484,1.6791021729563766,11,31,170,40,60
1.3,5,0.5,5.0,asian,26,1.2515989599000812,0.04813842153461851,34.61538461538461,2.4359292139531403,9,17,170,40,60
1.3,5,1.0,2.0,us,34,1.241634456899701,0.036518660497050034,44.11764705882353,1.4659831553250562,14,18,170,40,60
1.3,7,0.5,4.0,eu,14,1.2013782999211857,0.08581273570865612,35.714285714285715,2.634150761702126,5,9,41,8,18
1.3,7,1.0,2.0,eu_us,17,1.169830601102241,0.06881356477072006,47.05882352941176,1.4464665873361937,7,8,41,8,18
1.5,5,1.0,4.0,eu_us,45,1.1463209637717984,0.025473799194928856,33.33333333333333,2.194753143712174,12,28,100,26,39
2.0,5,0.5,3.0,eu_us,10,1.1046218531237337,0.11046218531237337,60.0,1.2978633011556813,6,4,21,5,7
2.0,5,1.5,7.0,eu_us,10,1.0804640770859302,0.10804640770859303,40.0,2.0374613281865543,1,5,21,5,7
2.0,5,0.5,2.0,all,12,1.029992208485254,0.08583268404043783,66.66666666666666,0.9790214671530759,8,4,21,5,7
1.3,5,1.5,7.0,us,34,0.9805268885234599,0.02883902613304294,35.294117647058826,1.9988806930360945,1,17,170,40,60
1.5,5,0.5,5.0,all,65,0.9774588816421064,0.015037828948340099,32.30769230769231,2.2778949782628115,21,43,100,26,39
1.3,5,2.0,2.0,eu,46,0.9733937748674055,0.021160734236247945,43.47826086956522,1.3808129271660379,17,22,170,40,60
1.3,5,0.5,5.0,eu_us,62,0.9635155150498329,0.0155405728233844,35.483870967741936,1.9910209040803806,20,39,170,40,60
2.0,5,0.5,4.0,all,12,0.9256649688073502,0.07713874740061251,41.66666666666667,2.0558213974203494,5,7,21,5,7
1.5,5,1.5,3.0,eu,32,0.9164778458631964,0.028639932683224886,37.5,1.8088843313545382,9,18,100,26,39
1.3,7,0.5,3.0,us,12,0.9101585748997231,0.07584654790831026,41.66666666666667,2.0062854676241035,5,6,41,8,18
1.3,7,0.5,4.0,eu_us,17,0.8900279383166964,0.0523545846068645,35.294117647058826,2.356892285264881,5,10,41,8,18
1.5,5,1.5,7.0,eu,32,0.8883853331332691,0.027762041660414658,31.25,2.370547759416245,2,20,100,26,39
