regime,Trades,Avg_PnL_%,Total_PnL_%,Std_PnL_%,PnL_Dollars,Win_Rate
BEAR_TREND,315,0.49,153.0,12.97,972.34,35.9
BULL_RUN,323,0.16,52.4,12.87,676.09,34.7
