config,trades,win_rate,total_return,max_dd,rr_ratio
best_rr,28,28.57142857142857,7.643106151026495,2.8822407331878424,4.55356636915553
best_return,26,46.15384615384615,14.722538369079485,4.156744138901266,2.673294416893271
best_winrate,14,71.42857142857143,7.123802929809189,1.364739423178392,1.505226081844975
balanced,27,37.03703703703704,9.65206038266495,3.343455944895773,3.2022211670550456
