entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime_type,regime_favorable,price_vs_ema50,price_vs_ema100
2025-01-25 09:45:00,271,292,1.1969,1.2567450000000002,-5.010000000000012,False,SL,0.9498999999999999,5.010000000000014,21,Strong Downtrend,True,-3.772647751979144,-7.643614410870679
2025-01-26 16:45:00,395,399,1.2703,1.333815,-5.009999999999999,False,SL,0.9023100099999999,9.768999000000012,4,Weak Downtrend,True,-1.8564937170027007,-2.3424577498722186
2025-01-27 16:45:00,491,498,0.9465,0.8755125,7.489999999999998,True,TP,0.9698930297489998,3.0106970251000176,7,Strong Downtrend,True,-4.3281176281766545,-10.055201829119827
2025-01-29 19:00:00,692,694,0.9036,0.94878,-5.010000000000001,False,SL,0.9213013889585749,7.869861104142506,2,Weak Downtrend,True,-4.688134507815413,-4.2835296252494794
2025-02-01 03:00:00,916,965,0.9031,0.8353675,7.489999999999997,True,TP,0.9903068629915722,0.9693137008427777,49,Strong Downtrend,True,-4.675006728999194,-8.719244893138308
2025-02-02 07:30:00,1030,1042,0.6401,0.5920925,7.489999999999997,True,TP,1.064480847029641,0.0,12,Strong Downtrend,True,-6.839606476740764,-14.494147726328249
2025-02-02 16:00:00,1064,1067,0.594,0.54945,7.489999999999997,True,TP,1.144210462472161,0.0,3,Strong Downtrend,True,-4.939118681047681,-12.338295925654863
2025-02-02 21:45:00,1087,1088,0.5929,0.622545,-5.010000000000006,False,SL,1.0868855183023056,5.010000000000007,1,Strong Downtrend,True,-2.2076346041027994,-8.237934815147794
2025-02-05 04:15:00,1305,1311,0.6581,0.6910050000000001,-5.010000000000011,False,SL,1.03243255383536,9.768999000000013,6,Strong Downtrend,True,-2.9464865332955346,-5.743326987227972
2025-02-05 08:45:00,1323,1325,0.6736,0.70728,-5.010000000000007,False,SL,0.9807076828882084,14.28957215010002,2,Weak Downtrend,True,-0.8513801377189412,-2.779828919408022
2025-02-06 08:15:00,1417,1429,0.5089,0.47073250000000005,7.489999999999992,True,TP,1.0541626883365351,7.869861104142517,12,Strong Downtrend,True,-3.9690996668882326,-10.264985090465949
2025-02-06 21:15:00,1469,1487,0.4439,0.46609500000000004,-5.010000000000005,False,SL,1.0013491376508747,12.485581062824977,18,Strong Downtrend,True,-4.14068152555294,-10.644400442776547
