config,trades,win_rate,total_return,max_dd,return_dd,top10_avg,max_winner,tp_rate,avg_winner
EMA_Distance_3pct,444,36.486486486486484,211.09370394986195,-35.16081587661926,6.003663415849006,10.321262545397305,13.10215804506507,13.963963963963963,4.015032967275285
EMA_Distance_2pct,345,37.10144927536232,159.9429957085459,-30.690381305381496,5.211502396045507,9.439043437388364,12.649665574980416,14.202898550724639,3.7720538748225203
EMA_Distance_3pct + EMA_Distance_2pct,345,37.10144927536232,159.9429957085459,-30.690381305381496,5.211502396045507,9.439043437388364,12.649665574980416,14.202898550724639,3.7720538748225203
BASELINE,505,34.65346534653465,205.58514200448528,-41.47242621930461,4.957152516647058,11.705525796114769,13.98488418797699,12.871287128712872,4.33395370487332
RSI_30-70,215,39.06976744186046,147.1854985320955,-32.261513854355805,4.562262614103063,11.21129925211904,13.98488418797699,14.883720930232558,4.3712780258092865
Consecutive_Max3,421,32.541567695961994,149.30981510582157,-43.00720782744808,3.471739335063947,11.705525796114769,13.98488418797699,13.064133016627078,4.53332013974297
Consecutive_Max2,356,31.741573033707866,107.48570028621572,-36.74307066360357,2.9253325414820974,11.289468443389168,13.98488418797699,12.921348314606742,4.553921742054449
Volume_2x,179,31.28491620111732,49.92426493623289,-21.35005384319045,2.3383671677322777,8.315607618873162,12.17005236087299,15.64245810055866,4.355076850100508
RSI_40-60,80,46.25,69.73030345617474,-33.624271797237526,2.07380858317662,8.540330413848757,12.649665574980416,17.5,3.917799360977189
Volume_2.5x,143,30.76923076923077,33.09360245369207,-20.71674620516695,1.5974324406908176,7.705296350013664,12.17005236087299,16.083916083916083,4.225020568200353
Body_Size_0.8pct,105,29.523809523809526,20.313679306918484,-24.29097502035522,0.8362644681778372,10.212263306141718,13.98488418797699,8.571428571428571,5.368973651195362
Session_AsiaEU,145,36.55172413793103,0.4773329874730585,-22.382346367732843,0.02132631582188354,4.796149448924011,6.136275801493189,10.344827586206897,2.559332287549649
HTF_Trend_EMA50,256,23.046875,-28.81423868104227,-85.60118578981447,-0.336610274906622,11.157028513274039,13.98488418797699,14.84375,5.057324319908753
HTF_Trend_EMA100,251,22.709163346613543,-39.65879332451233,-80.6138177097451,-0.4919602426882473,11.157028513274039,13.98488418797699,14.342629482071715,4.968770065893268
