entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_type,win,entry_rsi,entry_atr_pct,entry_volume_ratio,entry_bb_width,entry_above_ema50,entry_above_ema100,entry_momentum_7d,entry_momentum_14d,trade_num
2025-07-08 12:00:00,2025-07-08 15:00:00,1.09069,1.0361554999999998,4.9900000000000135,TP,True,57.33687629170344,1.0213063028253415,0.3190408779210827,3.6910224789552815,False,False,-2.603050435776544,6.224312900523965,90
2025-07-08 20:30:00,2025-07-09 19:30:00,1.05705,1.0887615000000002,-3.0100000000000104,SL,False,39.62156372724031,1.7075824227803773,0.3596784756965537,7.641461705836858,False,False,-1.2518099864542775,2.412440052317999,91
2025-07-25 14:00:00,2025-07-25 15:30:00,1.34705,1.2796975,4.99000000000001,TP,True,47.89203817120071,1.6032388234607893,1.152431351973789,3.074040381684948,False,False,-5.624487679793733,-0.4515356646664026,92
2025-07-26 11:00:00,2025-07-28 03:30:00,1.3629,1.403787,-3.0100000000000087,SL,False,51.77387914230023,1.044621238325835,0.1086184767890491,3.306979132903414,True,False,-2.49608310261199,9.754624447361415,93
2025-07-28 09:30:00,2025-07-28 13:30:00,1.38119,1.3121305,4.990000000000004,TP,True,49.95503597122301,1.8811935463518543,1.0651044676875276,6.414258553582505,True,True,-9.76271053559996,1.505096603978795,94
2025-07-29 10:00:00,2025-07-29 14:00:00,1.15892,1.100974,4.990000000000005,TP,True,56.72989315000409,1.8160997184570824,1.388002998800545,6.610960527038134,False,False,-28.446711038119123,-7.076765182251155,95
2025-07-30 07:30:00,2025-07-30 19:00:00,1.0788,1.02486,4.990000000000009,TP,True,47.24792521224838,1.5657608983526674,0.6646046488378755,2.974346541850521,False,False,-32.94130810447928,-11.189409905163329,96
2025-07-31 07:30:00,2025-07-31 14:00:00,1.06159,1.0085105,4.989999999999995,TP,True,45.19865122416067,1.6101185149499475,0.2910891443306453,3.677718521030004,False,False,-24.938308267752728,-27.47463706233988,97
2025-07-31 19:00:00,2025-07-31 23:30:00,1.02675,0.9754125,4.990000000000003,TP,True,41.52784264881419,2.552784444676337,0.601484645991955,8.53525978526509,False,False,-27.23091206758471,-33.31969528708086,98
2025-08-01 12:00:00,2025-08-01 14:30:00,0.98032,1.0097296,-3.010000000000004,SL,False,47.48877432230166,1.5352858541817247,0.3627796389716483,3.637642823606732,False,False,-28.22795560371336,-32.22485706186957,99
2025-08-01 20:00:00,2025-08-01 22:00:00,0.98352,0.934344,4.99,TP,True,50.8156823972316,3.061597992051873,1.904791331647703,7.846054161503916,False,False,-23.229674035219197,-25.73003586936001,100
