pattern,count,fwd_1_avg,fwd_3_avg,fwd_5_avg,win_rate_fwd1,edge
explosive_bear_<-2%,2,-0.4827499999999999,0.39659999999999995,0.76475,50.0,continuation
atr_expansion_>1.5x,10,-0.09398999999999999,0.18985999999999997,0.18640000000000004,30.0,volatility_expansion
cross_below_sma20,2710,-0.005346715867158672,-0.0006181918819188219,-0.0013807011070110706,21.69741697416974,fade
cross_above_sma200,841,0.004734839476813319,0.004643162901307966,0.0008852556480380504,23.067776456599287,fade
upper_wick_rejection,98,0.004225510204081631,-0.0161295918367347,0.07407551020408162,33.6734693877551,bearish_reversal
bb_upper_touch,3378,0.003542243931320307,-0.003261811722912965,-0.00539801657785672,27.027827116637066,mean_reversion
lower_wick_rejection,76,0.003534210526315789,-0.0019144736842105288,0.03958026315789473,27.631578947368425,bullish_reversal
cross_above_sma20,2708,0.002591543574593797,-0.00588175775480059,-0.010080132939438699,22.895125553914326,fade
cross_below_sma200,842,0.0023712589073634207,0.003002256532066508,-0.0012294536817102134,18.883610451306414,fade
bb_lower_touch,3577,0.002275677942409841,0.011412216941571149,0.014809197651663403,23.567235113223372,mean_reversion
cross_below_sma50,1699,-0.0018664508534432004,0.0018593878752207168,0.0015636256621542075,19.599764567392583,fade
cross_above_sma50,1697,-0.0018028285209192693,-0.001011255156157926,-0.0034859752504419576,19.79964643488509,fade
volume_spike_>3x,2388,-0.0015692629815745396,0.001595896147403686,0.004192043551088774,48.24120603015075,volatility_continuation
3+_consecutive_red,5441,0.0015642345157140234,0.000649108619739019,-0.001917757352941176,22.34883293512222,reversal
3+_consecutive_green,4688,0.0014114761092150162,-0.009203498293515357,-0.020604564846416384,25.127986348122867,continuation
volume_dryup_<0.5x,16741,-0.0003782138590203107,-0.0002952802007408292,-0.0019196104206500963,59.542440714413715,low_volatility
