session,signals,trades,return,max_dd,return_dd,win_rate
us,1,1,9.900000000000006,-0.01,990.0000000000006,1.0
europe,1,1,-1.0999999999999994,-0.01,109.99999999999994,0.0
asia,1,1,-1.0999999999999972,-0.01,109.99999999999972,0.0
all,3,3,7.700000000000009,-1.0999999999999994,7.0000000000000115,0.3333333333333333
