strategy,return,max_dd,final_equity,return_improvement,dd_improvement
Conservative (Win only),561.9084219218407,-43.22409638493566,6.619084219218408,273.50842192184075,-12.774096384935664
Fixed 100%,288.403548196959,-30.447784587043035,3.88403548196959,0.0035481969590023255,0.0022154129569642578
Gradual (15% adjust),238.60966713745628,-26.45062746020257,3.386096671374563,-49.79033286254369,3.999372539797431
Gradual (10% adjust),222.919546712011,-26.009154779865582,3.22919546712011,-65.48045328798898,4.440845220134417
Streak-Based (15% steps),191.40478151751822,-32.42994917140673,2.914047815175182,-96.99521848248176,-1.9799491714067337
Streak-Based (20% steps),167.00461048778809,-33.38090025113871,2.6700461048778807,-121.39538951221189,-2.9309002511387128
Anti-Martingale (1.15x/0.85x),143.25170514965245,-21.181939818447674,2.4325170514965246,-145.14829485034753,9.268060181552325
Anti-Martingale (1.2x/0.8x),110.18235102044956,-20.016885782940594,2.1018235102044955,-178.2176489795504,10.433114217059405
