config_name,total_return_pct,final_capital,total_trades,win_rate,max_drawdown_pct,sharpe_ratio,profit_factor,avg_win,avg_loss,largest_win,largest_loss,avg_trade_return,total_fees_paid,winning_trades,losing_trades,long_trades,short_trades,long_win_rate,short_win_rate
Static_Baseline,7412.16808340993,75121.6808340993,381,56.69291338582677,-92.03901972844737,80.53288817372075,1.586889463053363,927.8587595200096,765.4291589225627,16928.434996829517,-9424.467921652426,2.005994538635649,762.0,216,165,150,231,57.99999999999999,55.84415584415584
Rolling_30day,7412.16808340993,75121.6808340993,381,56.69291338582677,-92.03901972844737,80.53288817372075,1.586889463053363,927.8587595200096,765.4291589225627,16928.434996829517,-9424.467921652426,2.005994538635649,762.0,216,165,150,231,57.99999999999999,55.84415584415584
Rolling_90day,7412.16808340993,75121.6808340993,381,56.69291338582677,-92.03901972844737,80.53288817372075,1.586889463053363,927.8587595200096,765.4291589225627,16928.434996829517,-9424.467921652426,2.005994538635649,762.0,216,165,150,231,57.99999999999999,55.84415584415584
Rolling_30day_WinrateAdaptive,1073.829396555675,11738.29396555675,381,57.21784776902887,-99.59889302653455,10.78153947222678,1.4029373140060675,171.50610123247196,163.49715400688422,3674.6675432555,-1974.1500800570805,2.594200634329794,762.0,218,163,150,231,58.666666666666664,56.27705627705628
Rolling_90day_FixedTier,5819.859517758948,59198.59517758947,381,56.43044619422572,-87.62169588461782,66.42030217519034,1.687035268555345,664.6900407813417,510.29978066505396,12595.5814351186,-7308.763085302817,1.7658486778143216,762.0,215,166,150,231,57.99999999999999,55.41125541125541
